vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_20.0,23.5,3.0,0
flow_00.0,25.5,3.5,0
flow_20.1,24.0,3.0,0
flow_10.0,42.5,4.0,0
flow_30.0,43.5,4.5,0
flow_10.1,27.0,3.5,0
flow_30.1,43.5,4.0,0
flow_30.2,41.5,4.5,0
flow_10.2,28.5,4.0,0
flow_30.3,29.5,4.5,0
flow_10.3,25.5,3.5,0
flow_30.4,24.5,3.0,0
flow_10.4,24.5,3.0,0
flow_30.5,25.0,3.5,0
flow_10.5,26.0,3.5,0
flow_00.1,52.0,4.5,0
flow_20.2,62.5,5.0,0
flow_00.2,51.0,4.0,0
flow_20.3,60.0,4.5,0
flow_00.3,48.5,4.0,0
flow_20.4,56.5,4.5,0
flow_20.5,53.0,4.0,0
flow_00.4,44.5,4.0,0
flow_00.5,34.5,4.0,0
flow_20.6,52.0,4.0,0
flow_20.7,50.0,4.5,0
flow_00.6,33.0,4.5,0
flow_00.7,31.0,4.0,0
flow_20.8,49.0,4.5,0
flow_00.8,28.0,4.0,0
flow_20.9,44.5,4.5,0
flow_20.10,42.5,4.5,0
flow_10.6,61.0,4.0,0
flow_30.6,60.5,4.5,0
flow_10.7,50.0,3.5,0
flow_30.7,41.5,4.0,0
flow_10.8,46.5,4.0,0
flow_30.8,40.0,4.0,0
flow_30.9,36.0,3.5,0
flow_10.9,38.0,4.0,0
flow_30.10,35.0,4.0,0
flow_10.10,35.5,4.5,0
flow_10.11,34.0,4.0,0
flow_30.11,34.0,4.0,0
flow_10.12,30.5,4.0,0
flow_30.12,27.0,4.0,0
flow_30.13,26.0,3.5,0
flow_30.14,26.0,3.5,0
flow_20.11,63.0,4.5,0
flow_00.9,59.5,4.5,0
flow_20.12,59.0,4.0,0
flow_00.10,45.0,4.0,0
flow_20.13,57.5,4.0,0
flow_00.11,44.0,4.0,0
flow_20.14,57.0,4.0,0
flow_00.12,36.0,4.0,0
flow_20.15,56.0,4.5,0
flow_20.16,45.0,4.0,0
