vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_20.0,20.5,1.5,0
flow_10.0,44.5,4.0,0
flow_30.0,36.0,4.0,0
flow_10.1,33.5,3.0,0
flow_30.1,21.0,2.0,0
flow_10.2,27.0,3.0,0
flow_10.3,25.5,3.0,0
flow_30.2,21.0,2.0,0
flow_10.4,21.0,2.0,0
flow_10.5,22.5,2.0,0
flow_30.3,20.5,1.5,0
flow_10.6,21.0,2.0,0
flow_10.7,22.0,2.0,0
flow_20.1,50.5,4.0,0
flow_00.0,60.0,4.0,0
flow_20.2,28.0,3.0,0
flow_00.1,40.0,3.0,0
flow_00.2,35.0,3.0,0
flow_20.3,21.5,2.0,0
flow_20.4,23.5,2.5,0
flow_30.4,57.0,4.0,0
flow_10.8,60.5,4.0,0
flow_30.5,57.0,3.0,0
flow_10.9,60.5,3.5,0
flow_30.6,53.5,3.0,0
flow_10.10,59.0,3.0,0
flow_30.7,37.0,3.0,0
flow_10.11,57.5,3.0,0
flow_10.12,55.5,3.0,0
flow_30.8,36.0,3.0,0
flow_10.13,54.0,3.0,0
flow_30.9,34.5,2.5,0
flow_30.10,32.5,2.5,0
flow_10.14,52.0,2.5,0
flow_10.15,50.0,2.5,0
flow_30.11,21.5,2.0,0
flow_10.16,48.5,3.0,0
flow_10.17,47.5,3.0,0
flow_10.18,45.0,2.5,0
flow_20.5,48.5,4.0,0
flow_20.6,37.5,3.0,0
flow_20.7,33.0,3.0,0
flow_20.8,31.0,3.0,0
flow_00.3,20.5,1.5,0
flow_20.9,29.5,3.0,0
flow_20.10,22.5,2.0,0
flow_30.12,62.0,4.0,0
flow_10.19,81.0,4.0,0
flow_30.13,58.5,3.0,0
flow_10.20,68.0,3.0,0
flow_30.14,58.0,3.0,0
flow_10.21,66.0,3.0,0
flow_30.15,56.5,3.0,0
flow_10.22,64.5,3.0,0
flow_10.23,62.5,3.0,0
flow_30.16,42.5,3.0,0
flow_10.24,59.0,2.5,0
flow_30.17,34.5,2.5,0
flow_10.25,47.0,2.5,0
flow_30.18,31.0,2.5,0
flow_10.26,45.0,2.5,0
flow_30.19,29.0,2.5,0
flow_10.27,35.0,2.5,0
flow_30.20,27.5,2.5,0
flow_10.28,32.0,3.0,0
flow_10.29,30.0,2.5,0
flow_30.21,22.0,2.0,0
flow_10.30,28.5,2.5,0
flow_20.11,41.0,4.0,0
flow_00.4,59.5,4.0,0
flow_20.12,20.5,2.0,0
flow_00.5,22.0,1.5,0
flow_20.13,23.0,2.0,0
flow_00.6,20.5,1.5,0
flow_10.31,62.0,4.0,0
flow_30.22,58.5,4.0,0
flow_30.23,58.5,3.0,0
flow_10.32,62.5,3.5,0
flow_30.24,39.5,3.0,0
flow_10.33,55.5,3.0,0
flow_30.25,26.5,2.5,0
flow_10.34,54.0,3.0,0
flow_30.26,22.5,2.0,0
flow_10.35,53.0,3.0,0
flow_10.36,49.5,3.0,0
flow_10.37,48.0,2.5,0
flow_10.38,46.0,2.5,0
flow_10.39,44.5,2.5,0
flow_10.40,43.0,3.0,0
flow_30.27,20.5,1.5,0
flow_10.41,41.0,2.5,0
flow_20.14,20.0,2.0,0
flow_00.7,61.5,4.0,0
flow_00.8,54.5,3.0,0
flow_00.9,25.0,2.5,0
flow_20.15,20.5,1.5,0
flow_20.16,20.5,1.5,0
flow_20.17,21.0,2.0,0
flow_00.10,22.0,2.0,0
flow_20.18,21.0,1.5,0
flow_10.42,77.0,4.0,0
flow_30.28,56.5,4.0,0
flow_10.43,67.5,3.0,0
flow_30.29,39.0,3.5,0
flow_10.44,65.5,3.0,0
flow_30.30,37.5,3.0,0
flow_10.45,64.0,2.5,0
flow_30.31,31.5,2.5,0
flow_10.46,62.0,2.5,0
flow_30.32,28.0,2.5,0
flow_10.47,60.5,2.5,0
flow_30.33,26.5,3.0,0
flow_10.48,59.5,2.5,0
flow_30.34,25.0,2.5,0
flow_10.49,57.5,3.0,0
flow_10.50,55.5,2.5,0
flow_10.51,53.5,2.5,0
flow_30.35,20.5,1.5,0
flow_10.52,53.0,2.5,0
flow_10.53,51.0,2.5,0
flow_20.19,27.0,3.5,0
flow_00.11,34.5,4.0,0
flow_20.20,23.0,2.0,0
flow_20.21,21.0,1.5,0
flow_10.54,64.0,4.0,0
flow_30.36,60.5,4.0,0
flow_10.55,62.0,3.0,0
flow_30.37,59.5,3.0,0
flow_10.56,61.0,3.0,0
flow_30.38,50.0,3.0,0
flow_10.57,59.5,2.5,0
flow_30.39,49.0,3.0,0
flow_10.58,58.0,2.5,0
flow_30.40,47.5,2.5,0
flow_30.41,46.0,2.5,0
flow_10.59,57.5,2.5,0
flow_10.60,55.0,2.5,0
flow_30.42,43.5,2.5,0
flow_10.61,53.5,2.5,0
flow_30.43,42.0,2.5,0
flow_30.44,40.0,2.5,0
flow_10.62,52.0,2.5,0
flow_10.63,50.0,2.5,0
flow_30.45,23.5,2.5,0
flow_10.64,48.5,2.5,0
flow_10.65,46.0,2.5,0
flow_00.12,21.0,1.5,0
flow_00.13,21.5,2.0,0
flow_20.22,22.0,2.0,0
flow_10.66,63.5,4.0,0
flow_30.46,59.5,4.0,0
flow_10.67,61.5,3.0,0
flow_30.47,52.0,3.5,0
flow_10.68,60.5,3.0,0
flow_30.48,50.5,3.0,0
flow_10.69,59.5,3.0,0
flow_30.49,47.5,3.0,0
flow_10.70,58.0,3.0,0
flow_30.50,46.0,3.0,0
flow_10.71,57.0,2.5,0
flow_30.51,45.0,2.5,0
flow_30.52,43.0,2.5,0
flow_10.72,55.5,2.5,0
flow_10.73,53.5,2.5,0
flow_30.53,42.0,2.5,0
flow_10.74,51.5,3.0,0
flow_30.54,39.5,3.0,0
flow_30.55,37.0,2.5,0
flow_30.56,36.5,3.0,0
flow_20.23,39.5,4.0,0
flow_00.14,55.5,4.0,0
flow_20.24,31.5,3.5,0
flow_00.15,40.0,3.0,0
flow_20.25,30.5,3.0,0
flow_20.26,21.5,2.0,0
flow_20.27,20.5,1.5,0
flow_10.75,55.5,4.0,0
flow_30.57,72.5,4.0,0
flow_10.76,49.0,3.0,0
flow_30.58,67.5,3.0,0
flow_30.59,65.0,3.0,0
flow_10.77,48.0,3.0,0
flow_30.60,62.0,2.5,0
flow_10.78,46.0,2.5,0
flow_30.61,61.0,3.0,0
flow_10.79,45.5,3.0,0
flow_30.62,56.0,2.5,0
flow_10.80,44.0,2.5,0
flow_30.63,48.0,2.5,0
flow_10.81,43.0,2.5,0
flow_30.64,31.0,2.5,0
flow_10.82,41.0,2.5,0
flow_30.65,28.5,2.5,0
flow_10.83,39.5,2.5,0
flow_30.66,26.5,2.5,0
flow_10.84,34.0,2.5,0
flow_30.67,25.0,2.5,0
flow_10.85,32.0,3.0,0
flow_20.28,33.5,4.0,0
flow_00.16,20.5,1.5,0
flow_20.29,20.5,1.5,0
flow_10.86,58.5,4.0,0
flow_30.68,64.5,4.0,0
flow_10.87,58.0,3.0,0
flow_30.69,59.0,3.0,0
flow_10.88,43.5,3.0,0
flow_30.70,53.0,3.0,0
flow_10.89,26.0,3.0,0
flow_30.71,52.0,3.0,0
flow_10.90,24.5,2.5,0
flow_30.72,50.5,3.0,0
flow_10.91,23.0,2.5,0
flow_30.73,49.0,3.0,0
flow_10.92,21.5,2.0,0
flow_30.74,47.5,2.5,0
flow_30.75,45.0,2.5,0
flow_30.76,43.5,2.5,0
flow_10.93,20.5,1.5,0
flow_30.77,42.0,3.0,0
flow_30.78,40.0,2.5,0
flow_20.30,35.0,4.0,0
flow_00.17,45.0,4.0,0
flow_00.18,33.5,3.0,0
flow_20.31,22.0,2.0,0
flow_00.19,27.0,3.0,0
flow_20.32,20.5,1.5,0
flow_10.94,48.5,4.0,0
flow_30.79,74.0,4.0,0
flow_30.80,67.0,3.0,0
flow_10.95,39.0,3.0,0
flow_30.81,52.5,3.0,0
flow_10.96,38.5,3.0,0
flow_30.82,51.5,3.0,0
flow_10.97,36.5,2.5,0
flow_30.83,41.0,3.0,0
flow_30.84,39.5,2.5,0
flow_10.98,22.0,2.0,0
flow_30.85,38.0,2.5,0
flow_30.86,36.5,2.5,0
flow_10.99,21.0,2.0,0
flow_30.87,35.5,2.5,0
flow_30.88,33.0,2.5,0
flow_10.100,21.5,2.0,0
flow_30.89,31.5,2.5,0
flow_30.90,29.5,2.5,0
flow_00.20,21.0,1.5,0
flow_20.33,21.5,1.5,0
flow_00.21,22.5,2.0,0
flow_10.101,61.0,4.0,0
flow_30.91,48.0,4.0,0
flow_10.102,60.5,3.0,0
flow_30.92,47.0,3.0,0
flow_10.103,59.0,3.0,0
flow_30.93,47.5,3.0,0
flow_10.104,57.5,2.5,0
flow_30.94,44.0,3.0,0
flow_10.105,56.0,2.5,0
flow_30.95,42.0,3.0,0
flow_10.106,54.5,2.5,0
flow_30.96,40.5,3.0,0
flow_10.107,53.5,2.5,0
flow_30.97,39.0,2.5,0
flow_10.108,51.5,2.5,0
flow_30.98,37.0,2.5,0
flow_30.99,35.5,2.5,0
flow_10.109,52.0,2.5,0
flow_30.100,33.5,2.5,0
flow_10.110,50.0,2.5,0
flow_30.101,30.0,3.0,0
flow_10.111,48.0,2.5,0
flow_20.34,55.5,4.0,0
flow_20.35,23.0,2.0,0
flow_20.36,22.0,2.0,0
flow_00.22,21.0,1.5,0
flow_00.23,21.5,2.0,0
flow_10.112,83.0,4.0,0
flow_30.102,60.5,4.0,0
flow_10.113,68.0,3.0,0
flow_30.103,58.0,3.5,0
flow_30.104,56.5,3.0,0
flow_10.114,65.5,3.0,0
flow_10.115,64.0,3.0,0
flow_30.105,49.0,3.0,0
flow_10.116,62.0,3.0,0
flow_30.106,47.5,3.0,0
flow_10.117,61.0,2.5,0
flow_30.107,46.0,2.5,0
flow_10.118,59.0,2.5,0
flow_30.108,44.5,2.5,0
flow_10.119,57.5,2.5,0
flow_30.109,42.5,2.5,0
flow_10.120,55.5,2.5,0
flow_30.110,40.5,3.0,0
flow_10.121,54.0,2.5,0
flow_30.111,33.5,2.5,0
flow_10.122,53.0,2.5,0
flow_00.24,30.5,3.5,0
flow_20.37,52.0,4.0,0
flow_00.25,25.0,2.5,0
flow_20.38,21.5,2.0,0
flow_00.26,22.5,2.0,0
flow_00.27,22.0,2.0,0
flow_20.39,21.0,1.5,0
flow_10.123,89.0,4.0,0
flow_30.112,60.0,4.0,0
flow_10.124,67.5,3.5,0
flow_30.113,57.0,3.0,0
flow_10.125,65.0,3.0,0
flow_30.114,56.0,3.0,0
flow_10.126,63.5,2.5,0
flow_30.115,42.0,3.0,0
flow_10.127,62.0,2.5,0
flow_30.116,40.5,3.0,0
flow_10.128,60.5,2.5,0
flow_30.117,36.5,2.5,0
flow_10.129,59.5,2.5,0
flow_30.118,35.0,2.5,0
flow_10.130,59.0,2.5,0
flow_10.131,56.5,3.0,0
flow_30.119,23.5,2.5,0
flow_10.132,55.0,3.0,0
flow_10.133,53.0,2.5,0
flow_10.134,51.0,2.5,0
flow_00.28,36.5,4.0,0
flow_10.135,64.5,4.0,0
flow_30.120,41.5,4.0,0
flow_30.121,39.0,3.0,0
flow_10.136,65.0,3.5,0
flow_30.122,34.5,3.0,0
flow_10.137,62.5,3.0,0
flow_30.123,32.0,2.5,0
flow_10.138,61.0,3.0,0
flow_10.139,59.0,3.0,0
flow_10.140,57.5,2.5,0
flow_30.124,21.0,2.0,0
flow_10.141,55.0,2.5,0
flow_10.142,53.5,2.5,0
flow_30.125,22.5,2.0,0
flow_10.143,52.0,2.5,0
flow_10.144,49.5,2.5,0
flow_10.145,48.0,2.5,0
flow_10.146,46.0,2.5,0
flow_20.40,46.0,4.0,0
flow_20.41,45.5,3.0,0
flow_20.42,37.0,3.0,0
flow_20.43,35.5,2.5,0
flow_20.44,32.0,2.5,0
flow_20.45,21.5,2.0,0
flow_00.29,21.0,1.5,0
flow_30.126,56.5,4.0,0
flow_10.147,65.5,4.0,0
flow_30.127,53.5,3.0,0
flow_10.148,62.5,3.0,0
flow_30.128,42.5,3.0,0
flow_10.149,61.0,3.0,0
flow_30.129,41.0,2.5,0
flow_10.150,60.0,3.0,0
flow_30.130,40.0,2.5,0
flow_10.151,58.0,3.0,0
flow_30.131,39.0,2.5,0
flow_10.152,57.0,2.5,0
flow_30.132,37.0,2.5,0
flow_10.153,51.5,2.5,0
flow_30.133,35.0,2.0,0
flow_10.154,45.5,2.5,0
flow_30.134,33.5,2.5,0
