vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_001.0,28.0,3.5,0
flow_20.0,21.5,2.0,0
flow_301.0,33.5,3.5,0
flow_101.0,26.5,3.0,0
flow_301.1,26.0,3.0,0
flow_30.0,23.0,2.0,0
flow_3012.0,24.0,3.0,0
flow_301.2,28.0,3.0,0
flow_20.1,44.5,4.0,0
flow_001.1,57.0,3.5,0
flow_2012.0,41.0,4.0,0
flow_001.2,25.5,2.5,0
flow_301.3,65.0,3.5,0
flow_101.1,63.0,3.5,0
flow_101.2,62.5,3.0,0
flow_301.4,64.0,3.5,0
flow_1012.0,53.5,4.0,0
flow_301.5,54.0,7.0,0
flow_10.0,21.5,2.0,0
flow_1012.1,26.0,4.0,0
flow_301.6,25.5,2.5,0
flow_001.3,61.5,3.5,0
flow_201.0,49.5,3.5,0
flow_001.4,61.0,3.0,0
flow_201.1,48.5,3.0,0
flow_20.2,33.0,3.0,0
flow_001.5,61.0,3.5,0
flow_201.2,34.0,2.5,0
flow_001.6,39.0,3.5,0
flow_201.3,29.0,3.0,0
flow_0012.0,39.5,5.5,0
flow_20.3,21.0,2.0,0
flow_0012.1,25.5,3.5,0
flow_00.0,22.0,2.0,0
flow_10.1,58.0,4.0,0
flow_30.1,35.5,4.0,0
flow_1012.2,59.0,4.0,0
flow_101.3,50.5,3.0,0
flow_301.7,26.5,2.5,0
flow_30.2,22.5,2.0,0
flow_101.4,40.5,3.0,0
flow_101.5,36.5,3.5,0
flow_101.6,34.0,3.5,0
flow_1012.3,25.0,3.5,0
flow_10.2,21.0,2.0,0
flow_301.8,29.0,3.5,0
flow_301.9,28.5,3.5,0
flow_20.4,55.5,4.0,0
flow_001.7,29.5,3.0,0
flow_0012.2,26.0,3.0,0
flow_2012.1,56.0,4.0,0
flow_2012.2,55.0,4.0,0
flow_00.1,26.5,5.5,0
flow_201.4,27.5,2.5,0
flow_201.5,26.5,3.0,0
flow_00.2,21.5,2.0,0
flow_001.8,26.0,3.0,0
flow_101.7,44.5,3.5,0
flow_301.10,64.0,3.5,0
flow_10.3,33.5,3.0,0
flow_3012.1,41.0,7.0,0
flow_3012.2,34.0,5.0,0
flow_301.11,29.0,3.0,0
flow_101.8,34.0,3.5,0
flow_301.12,28.0,3.0,0
flow_101.9,24.5,2.0,0
flow_10.4,21.5,2.0,0
flow_001.9,60.0,3.5,0
flow_201.6,59.5,3.5,0
flow_20.5,50.0,3.0,0
flow_00.3,47.0,3.0,0
flow_201.7,50.0,3.0,0
flow_001.10,31.5,3.0,0
flow_201.8,45.5,2.5,0
flow_001.11,30.0,3.5,0
flow_2012.3,42.0,4.0,0
flow_201.9,41.0,3.0,0
flow_2012.4,38.5,3.5,0
flow_2012.5,25.0,3.5,0
flow_1012.4,62.0,4.0,0
flow_3012.3,60.0,4.5,0
flow_30.3,57.5,3.0,0
flow_101.10,55.5,3.0,0
