vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_201.0,24.5,2.5,0
flow_10.0,28.5,3.5,0
flow_301.0,26.0,2.5,0
flow_1012.0,25.5,3.5,0
flow_30.0,20.5,2.0,0
flow_10.1,22.0,2.0,0
flow_101.0,24.5,2.5,0
flow_10.2,22.5,2.0,0
flow_001.0,39.5,3.5,0
flow_0012.0,39.0,3.5,0
flow_20.0,21.0,1.5,0
flow_30.1,22.0,2.0,0
flow_10.3,20.5,1.5,0
flow_1012.1,24.5,3.0,0
flow_10.4,21.0,2.0,0
flow_2012.0,64.5,4.5,0
flow_20.1,25.5,3.0,0
flow_001.1,62.0,4.5,0
flow_00.0,36.5,3.0,0
flow_0012.1,38.5,4.0,0
flow_001.2,25.5,2.5,0
flow_3012.0,64.5,4.5,0
flow_301.1,60.5,3.0,0
flow_101.1,38.0,7.5,0
flow_30.2,51.0,3.0,0
flow_30.3,21.0,1.5,0
flow_1012.2,25.0,3.5,0
flow_0012.2,64.0,4.5,0
flow_201.1,63.0,3.5,0
flow_001.3,54.0,3.5,0
flow_001.4,24.5,2.5,0
flow_10.5,23.0,2.0,0
flow_30.4,24.0,2.5,0
flow_1012.3,25.0,3.0,0
flow_10.6,21.0,1.5,0
flow_00.1,41.5,4.0,0
flow_2012.1,64.0,7.5,0
flow_20.2,49.0,3.5,0
flow_001.5,25.0,2.5,0
flow_0012.3,24.5,3.0,0
flow_2012.2,25.5,3.5,0
flow_1012.4,48.0,4.0,0
flow_10.7,37.0,3.0,0
flow_2012.3,64.5,4.5,0
flow_00.2,58.0,6.5,0
flow_20.3,55.0,3.0,0
flow_0012.4,37.5,5.5,0
flow_201.2,59.5,3.0,0
flow_20.4,56.0,3.0,0
flow_0012.5,26.5,4.0,0
flow_20.5,58.0,5.5,0
flow_2012.4,56.0,4.5,0
flow_201.3,55.5,3.0,0
flow_20.6,49.0,2.5,0
flow_10.8,60.0,4.0,0
flow_30.5,46.5,4.0,0
flow_3012.1,35.0,3.5,0
flow_1012.5,33.0,3.5,0
flow_10.9,29.5,3.0,0
flow_1012.6,25.0,3.5,0
flow_0012.6,60.0,4.0,0
flow_2012.5,74.0,4.5,0
flow_2012.6,55.5,4.0,0
flow_201.4,50.5,3.0,0
flow_001.6,45.5,4.0,0
flow_30.6,58.0,4.0,0
flow_1012.7,23.5,3.0,0
flow_2012.7,36.0,4.5,0
flow_001.7,68.0,7.5,0
flow_20.7,30.5,3.5,0
flow_2012.8,35.0,6.0,0
flow_001.8,63.5,4.0,0
flow_201.5,30.0,2.5,0
flow_0012.7,52.0,4.5,0
flow_0012.8,50.5,4.5,0
flow_0012.9,33.5,4.5,0
flow_3012.2,47.0,4.5,0
flow_101.2,55.5,7.5,0
flow_10.10,30.0,3.5,0
flow_3012.3,31.0,5.5,0
flow_1012.8,30.0,3.5,0
flow_1012.9,25.0,3.0,0
flow_10.11,22.5,2.0,0
flow_2012.9,41.0,4.0,0
flow_001.9,27.0,3.0,0
flow_201.6,24.5,2.5,0
flow_0012.10,25.0,3.0,0
flow_3012.4,61.0,4.0,0
flow_1012.10,34.0,5.0,0
flow_301.2,33.0,3.0,0
flow_301.3,25.5,2.5,0
flow_3012.5,25.0,3.5,0
flow_2012.10,40.5,4.0,0
flow_20.8,24.5,2.5,0
flow_001.10,56.0,7.0,0
flow_0012.11,47.0,3.5,0
