vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_201.0,25.5,2.5,0
flow_20.0,22.5,2.0,0
flow_0012.0,26.5,5.0,0
flow_201.1,24.5,2.0,0
flow_10.0,34.5,4.0,0
flow_301.0,30.0,3.5,0
flow_101.0,35.0,3.0,0
flow_3012.0,25.0,3.0,0
flow_301.1,25.0,2.5,0
flow_301.2,26.0,2.5,0
flow_00.0,53.0,4.0,0
flow_201.2,51.0,3.5,0
flow_0012.1,52.5,4.0,0
flow_00.1,49.5,3.0,0
flow_201.3,49.5,6.5,0
flow_00.2,48.5,2.5,0
flow_00.3,37.5,2.5,0
flow_201.4,41.5,3.5,0
flow_20.1,30.5,2.5,0
flow_00.4,36.0,2.5,0
flow_2012.0,31.5,4.0,0
flow_0012.2,37.0,4.0,0
flow_30.0,40.5,4.0,0
flow_101.1,62.0,3.5,0
flow_301.3,43.0,3.5,0
flow_101.2,44.0,3.0,0
flow_1012.0,65.5,5.5,0
flow_10.1,41.5,2.5,0
flow_301.4,39.5,4.0,0
flow_301.5,39.5,4.0,0
flow_30.1,37.5,4.0,0
flow_10.2,36.0,3.5,0
flow_1012.1,40.5,5.5,0
flow_1012.2,30.0,4.0,0
flow_20.2,58.5,4.0,0
flow_001.0,40.5,3.5,0
flow_2012.1,50.0,4.0,0
flow_001.1,43.5,7.0,0
flow_2012.2,35.0,5.5,0
flow_201.5,26.5,2.5,0
flow_20.3,21.5,2.0,0
flow_2012.3,22.5,2.5,0
flow_301.6,49.5,3.5,0
flow_1012.3,47.5,6.0,0
flow_3012.1,50.0,4.0,0
flow_301.7,41.5,3.0,0
flow_101.3,45.5,3.5,0
flow_301.8,41.0,3.5,0
flow_1012.4,28.0,4.5,0
flow_20.4,56.5,4.0,0
flow_001.2,57.5,3.5,0
flow_201.6,37.5,3.0,0
flow_001.3,56.5,3.5,0
flow_0012.3,52.0,4.0,0
flow_20.5,23.0,2.5,0
flow_001.4,45.0,2.5,0
flow_0012.4,44.5,3.5,0
flow_0012.5,34.0,4.0,0
flow_2012.4,28.0,4.5,0
flow_2012.5,26.0,3.5,0
flow_30.2,56.0,4.0,0
flow_10.3,51.5,4.0,0
flow_301.9,46.5,3.0,0
flow_1012.5,54.0,4.5,0
flow_101.4,50.5,3.0,0
flow_301.10,49.0,3.5,0
flow_3012.2,47.5,4.0,0
flow_30.3,34.5,3.0,0
flow_30.4,33.5,3.0,0
flow_101.5,28.5,3.5,0
flow_301.11,34.0,2.5,0
flow_3012.3,28.5,3.5,0
flow_1012.6,25.5,3.5,0
flow_2012.6,63.5,4.0,0
flow_20.6,51.0,3.0,0
flow_001.5,66.0,7.0,0
flow_2012.7,52.0,4.0,0
flow_0012.6,66.0,3.5,0
flow_0012.7,62.0,4.0,0
flow_00.5,58.5,2.5,0
flow_20.7,53.0,6.0,0
flow_00.6,43.0,2.5,0
flow_201.7,52.0,4.0,0
flow_2012.8,47.5,3.5,0
flow_201.8,37.5,2.5,0
flow_0012.8,24.5,3.0,0
flow_10.4,62.5,4.0,0
flow_3012.4,64.0,6.5,0
flow_3012.5,58.5,4.0,0
flow_101.6,69.5,3.5,0
flow_1012.7,65.5,4.0,0
flow_101.7,54.0,3.0,0
flow_10.5,44.0,2.5,0
flow_301.12,25.0,2.5,0
flow_1012.8,25.5,3.5,0
flow_2012.9,57.5,4.5,0
flow_001.6,67.0,7.0,0
flow_2012.10,60.0,5.0,0
flow_20.8,56.5,3.5,0
flow_001.7,52.0,3.5,0
flow_0012.9,25.5,3.0,0
flow_2012.11,52.5,4.5,0
flow_201.9,52.5,3.5,0
flow_0012.10,26.0,3.5,0
flow_001.8,25.5,2.5,0
flow_201.10,25.0,2.5,0
flow_301.13,56.0,3.5,0
flow_101.8,61.5,3.5,0
flow_3012.6,53.0,4.0,0
flow_1012.9,53.0,4.0,0
flow_30.5,50.0,3.0,0
flow_101.9,51.0,3.5,0
flow_301.14,44.5,3.0,0
flow_30.6,40.5,2.5,0
flow_101.10,50.0,3.5,0
flow_3012.7,40.5,3.0,0
flow_1012.10,32.5,4.5,0
flow_1012.11,30.5,4.0,0
flow_30.7,41.5,5.5,0
flow_3012.8,34.5,4.0,0
flow_1012.12,25.0,3.0,0
flow_3012.9,32.5,3.5,0
flow_301.15,28.0,3.0,0
flow_0012.11,58.0,4.0,0
flow_00.7,56.0,3.0,0
flow_20.9,61.5,6.5,0
flow_201.11,59.0,3.0,0
flow_00.8,55.0,3.0,0
flow_20.10,27.5,3.0,0
flow_00.9,40.5,3.0,0
flow_001.9,40.0,2.5,0
flow_0012.12,39.0,3.5,0
flow_30.8,61.0,4.0,0
flow_3012.10,61.5,3.5,0
flow_1012.13,51.0,7.5,0
flow_101.11,49.0,3.0,0
flow_301.16,62.0,3.0,0
flow_301.17,61.0,3.5,0
flow_1012.14,52.5,5.5,0
flow_10.6,48.0,3.5,0
flow_30.9,61.5,3.5,0
flow_3012.11,59.5,3.5,0
flow_1012.15,47.5,3.5,0
flow_3012.12,52.0,3.5,0
flow_10.7,48.0,5.5,0
flow_301.18,34.5,2.5,0
flow_101.12,45.0,3.5,0
flow_3012.13,35.5,5.0,0
flow_001.10,49.0,3.5,0
flow_201.12,47.0,4.0,0
flow_00.10,40.0,3.0,0
flow_2012.12,49.5,7.0,0
flow_00.11,40.0,5.5,0
flow_00.12,32.5,4.0,0
flow_00.13,31.0,3.5,0
flow_001.11,27.0,3.0,0
flow_20.11,20.5,1.5,0
flow_30.10,57.0,4.0,0
flow_101.13,79.0,3.5,0
flow_3012.14,50.5,4.0,0
flow_10.8,77.5,6.5,0
flow_30.11,42.0,3.0,0
flow_10.9,61.5,4.5,0
flow_30.12,38.5,2.5,0
flow_101.14,59.5,2.5,0
flow_301.19,43.5,3.5,0
flow_101.15,43.5,3.0,0
flow_3012.15,42.0,4.5,0
flow_1012.16,35.5,3.5,0
flow_3012.16,40.5,4.5,0
flow_30.13,36.0,3.0,0
flow_10.10,32.0,4.0,0
flow_301.20,36.0,3.0,0
flow_3012.17,35.5,4.0,0
flow_20.12,54.0,4.0,0
flow_00.14,46.5,4.0,0
flow_001.12,47.5,3.0,0
flow_201.13,43.0,3.0,0
flow_20.13,39.0,3.0,0
flow_001.13,41.0,3.0,0
flow_20.14,21.5,2.0,0
flow_0012.13,24.5,3.0,0
flow_0012.14,23.5,3.0,0
flow_3012.18,71.5,4.5,0
flow_30.14,62.0,3.0,0
flow_101.16,63.5,7.5,0
flow_30.15,60.0,3.0,0
flow_10.11,60.5,3.0,0
flow_10.12,60.0,3.0,0
flow_3012.19,65.5,5.5,0
flow_30.16,61.5,3.5,0
flow_101.17,65.0,3.0,0
flow_301.21,56.0,3.5,0
flow_101.18,58.5,3.5,0
flow_10.13,25.0,2.5,0
flow_30.17,46.0,3.0,0
flow_301.22,53.5,3.5,0
flow_10.14,22.0,2.0,0
flow_00.15,30.5,3.5,0
flow_201.14,53.0,3.5,0
flow_20.15,41.0,3.0,0
flow_001.14,27.0,2.5,0
flow_201.15,31.5,3.0,0
flow_20.16,27.5,3.0,0
flow_2012.13,25.0,3.0,0
flow_2012.14,26.0,3.5,0
flow_201.16,27.0,3.0,0
flow_301.23,39.0,3.5,0
flow_101.19,41.0,3.5,0
flow_3012.20,29.5,3.5,0
flow_301.24,27.0,2.5,0
flow_101.20,43.0,4.0,0
flow_1012.17,35.5,4.0,0
flow_3012.21,28.0,4.0,0
flow_1012.18,34.5,4.0,0
flow_101.21,29.0,2.5,0
flow_2012.15,62.0,4.5,0
flow_0012.15,37.5,4.5,0
flow_20.17,59.5,3.0,0
flow_001.15,32.0,3.5,0
flow_2012.16,45.5,4.0,0
flow_20.18,41.0,2.5,0
flow_0012.16,31.0,4.0,0
flow_00.16,24.0,2.5,0
flow_201.17,33.0,2.5,0
flow_2012.17,25.5,3.5,0
flow_001.16,24.5,2.5,0
flow_201.18,24.5,2.0,0
flow_10.15,60.0,4.0,0
flow_30.18,52.5,4.0,0
flow_301.25,52.0,3.0,0
flow_1012.19,39.5,5.0,0
flow_101.22,36.5,2.5,0
flow_30.19,50.0,3.0,0
flow_101.23,34.0,3.5,0
flow_3012.22,46.0,4.5,0
flow_3012.23,45.0,4.5,0
flow_1012.20,25.0,3.0,0
flow_301.26,25.0,2.5,0
flow_101.24,25.5,2.5,0
flow_00.17,54.0,4.0,0
flow_201.19,50.5,3.5,0
flow_00.18,53.0,3.0,0
flow_201.20,44.5,3.0,0
flow_00.19,39.0,3.0,0
flow_2012.18,39.0,6.0,0
flow_2012.19,33.0,4.5,0
flow_2012.20,26.5,3.5,0
flow_001.17,38.5,4.0,0
flow_001.18,26.0,2.5,0
flow_30.20,48.5,4.0,0
flow_1012.21,65.5,7.5,0
flow_1012.22,46.0,4.5,0
flow_10.16,42.0,3.5,0
flow_101.25,40.5,2.5,0
flow_1012.23,33.5,4.0,0
flow_10.17,25.0,3.0,0
flow_1012.24,30.5,4.0,0
flow_2012.21,61.5,4.5,0
flow_00.20,47.5,6.5,0
flow_201.21,60.5,3.0,0
flow_0012.17,36.0,5.0,0
flow_20.19,60.5,3.0,0
flow_20.20,59.5,3.0,0
flow_2012.22,54.5,3.5,0
flow_201.22,43.5,2.5,0
