vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,24.5,3.0,0
flow_20.0,24.0,3.0,0
flow_10.0,46.5,4.5,0
flow_10.1,25.0,3.5,0
flow_10.2,25.0,3.5,0
flow_30.0,27.0,4.0,0
flow_10.3,24.5,3.0,0
flow_10.4,25.5,3.0,0
flow_30.1,24.0,3.0,0
flow_00.1,65.0,4.5,0
flow_20.1,47.0,4.5,0
flow_00.2,25.5,3.5,0
flow_10.5,53.5,4.5,0
flow_10.6,51.5,4.0,0
flow_10.7,34.5,4.0,0
flow_10.8,28.5,4.0,0
flow_10.9,28.0,4.0,0
flow_30.2,26.0,4.0,0
flow_10.10,27.0,4.0,0
flow_10.11,23.5,3.0,0
flow_30.3,24.0,3.0,0
flow_20.2,65.5,4.0,0
flow_00.3,73.5,4.5,0
flow_00.4,61.0,4.0,0
flow_20.3,51.5,4.0,0
flow_00.5,61.0,4.0,0
flow_00.6,60.0,4.0,0
flow_20.4,24.5,3.0,0
flow_20.5,24.0,3.0,0
flow_20.6,25.0,3.5,0
flow_10.12,73.0,4.0,0
flow_10.13,68.5,4.0,0
flow_10.14,64.5,4.0,0
flow_30.4,24.0,3.0,0
flow_30.5,26.0,3.5,0
flow_30.6,26.0,3.5,0
flow_20.7,69.5,4.0,0
flow_00.7,73.0,4.5,0
flow_00.8,65.0,4.0,0
flow_20.8,59.5,4.0,0
flow_00.9,58.0,4.0,0
flow_20.9,58.0,4.0,0
flow_00.10,57.0,4.0,0
flow_20.10,56.5,4.0,0
flow_20.11,56.5,4.5,0
flow_20.12,54.0,4.0,0
flow_20.13,27.0,4.0,0
flow_10.15,52.5,4.5,0
flow_10.16,26.0,3.5,0
flow_30.7,24.0,3.0,0
flow_10.17,24.0,3.0,0
flow_10.18,26.0,3.5,0
flow_20.14,43.5,4.5,0
flow_00.11,24.0,3.0,0
flow_10.19,63.0,4.0,0
flow_30.8,66.5,4.5,0
flow_10.20,59.0,3.5,0
flow_30.9,66.0,4.0,0
flow_10.21,47.0,4.0,0
flow_10.22,38.5,4.0,0
flow_30.10,24.5,3.0,0
flow_20.15,59.5,4.0,0
flow_20.16,50.0,4.0,0
flow_20.17,26.5,3.5,0
flow_00.12,23.5,3.0,0
flow_20.18,24.5,3.0,0
flow_20.19,23.5,2.5,0
flow_00.13,25.0,3.5,0
flow_20.20,27.5,4.0,0
flow_10.23,69.0,4.5,0
flow_30.11,57.5,4.5,0
flow_10.24,68.5,4.0,0
flow_30.12,49.5,4.0,0
flow_10.25,25.0,3.0,0
flow_00.14,25.0,3.0,0
flow_20.21,66.5,4.5,0
