vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,25.5,3.5,0
flow_20.0,25.5,3.5,0
flow_20.1,26.5,3.5,0
flow_10.0,29.0,4.0,0
flow_30.0,52.5,4.5,0
flow_30.1,52.5,4.0,0
flow_30.2,51.0,4.0,0
flow_30.3,49.0,4.0,0
flow_10.1,24.5,3.0,0
flow_30.4,34.5,4.0,0
flow_30.5,33.0,4.0,0
flow_10.2,24.0,3.0,0
flow_30.6,31.0,4.5,0
flow_30.7,29.5,4.5,0
flow_10.3,24.0,3.0,0
flow_30.8,28.5,4.5,0
flow_10.4,26.0,3.5,0
flow_30.9,24.5,3.0,0
flow_10.5,25.0,3.5,0
flow_20.2,71.0,4.5,0
flow_00.1,75.5,5.0,0
flow_20.3,70.5,4.0,0
flow_00.2,74.0,4.0,0
flow_20.4,62.5,4.0,0
flow_00.3,73.0,4.0,0
flow_20.5,45.0,4.0,0
flow_00.4,72.5,4.5,0
flow_20.6,43.5,4.0,0
flow_00.5,68.5,4.0,0
flow_00.6,67.0,4.5,0
flow_20.7,25.0,3.5,0
flow_00.7,56.5,4.0,0
flow_00.8,54.5,4.0,0
flow_00.9,38.5,4.0,0
flow_20.8,27.5,3.5,0
flow_00.10,29.5,4.0,0
flow_30.10,62.0,4.0,0
flow_10.6,60.5,4.5,0
flow_30.11,54.0,3.5,0
flow_10.7,37.5,4.0,0
flow_30.12,53.0,3.5,0
flow_10.8,31.5,3.5,0
flow_30.13,48.5,3.5,0
flow_10.9,27.0,3.5,0
flow_10.10,25.5,3.5,0
flow_30.14,46.5,4.0,0
flow_30.15,45.5,3.5,0
flow_10.11,26.0,3.5,0
flow_30.16,45.5,4.5,0
flow_30.17,43.5,4.0,0
flow_10.12,25.5,3.5,0
flow_10.13,25.0,3.0,0
flow_30.18,23.5,3.0,0
flow_10.14,28.0,4.0,0
flow_00.11,52.5,4.0,0
flow_20.9,46.5,5.0,0
flow_00.12,49.5,4.0,0
flow_20.10,44.0,4.0,0
flow_20.11,42.0,4.0,0
flow_00.13,31.0,4.0,0
flow_00.14,29.0,4.0,0
flow_20.12,34.0,4.0,0
flow_20.13,25.5,3.0,0
flow_20.14,24.0,2.5,0
flow_00.15,24.5,3.0,0
flow_30.19,66.5,4.5,0
flow_10.15,61.0,4.5,0
flow_10.16,60.0,3.5,0
flow_30.20,57.0,4.0,0
flow_10.17,59.0,3.5,0
flow_30.21,48.5,4.0,0
flow_10.18,47.0,3.5,0
flow_30.22,46.0,4.0,0
flow_30.23,45.5,4.5,0
flow_30.24,25.0,3.0,0
flow_10.19,26.5,3.5,0
flow_30.25,25.5,3.5,0
flow_10.20,25.0,3.5,0
flow_30.26,25.0,3.5,0
flow_10.21,25.0,3.5,0
flow_00.16,34.0,4.0,0
flow_20.15,72.0,4.5,0
flow_00.17,24.5,3.0,0
flow_20.16,67.0,4.0,0
flow_20.17,66.0,4.0,0
flow_00.18,25.0,3.5,0
flow_20.18,65.5,4.0,0
flow_20.19,62.0,4.5,0
flow_20.20,57.0,4.0,0
flow_00.19,26.5,3.5,0
flow_20.21,47.5,4.5,0
flow_20.22,46.0,4.5,0
flow_20.23,44.5,4.5,0
flow_20.24,32.0,4.5,0
flow_20.25,32.5,4.5,0
flow_20.26,31.0,4.5,0
flow_00.20,26.0,3.5,0
flow_20.27,27.0,4.0,0
flow_30.27,62.0,4.5,0
flow_10.22,72.5,4.5,0
flow_30.28,62.0,4.0,0
flow_10.23,68.0,4.0,0
flow_30.29,56.0,4.0,0
flow_10.24,52.0,4.5,0
flow_30.30,55.5,4.0,0
flow_10.25,50.0,4.0,0
flow_30.31,48.5,4.5,0
flow_10.26,46.5,4.0,0
flow_10.27,42.0,4.0,0
flow_30.32,46.5,4.0,0
flow_10.28,28.0,4.0,0
flow_10.29,26.0,3.5,0
flow_10.30,25.0,3.5,0
flow_10.31,25.0,3.0,0
flow_10.32,25.0,3.0,0
flow_30.33,25.0,3.0,0
flow_30.34,25.5,3.5,0
flow_10.33,26.0,3.5,0
flow_20.28,69.5,4.0,0
flow_00.21,39.5,4.5,0
flow_20.29,67.0,4.0,0
flow_00.22,38.5,4.0,0
flow_20.30,66.0,4.0,0
flow_00.23,38.0,4.0,0
flow_00.24,36.5,3.5,0
flow_20.31,45.0,4.0,0
flow_00.25,34.5,4.0,0
flow_20.32,44.0,4.5,0
flow_00.26,30.0,4.0,0
flow_20.33,43.0,4.0,0
flow_20.34,31.5,4.5,0
flow_00.27,25.0,3.5,0
flow_00.28,24.5,3.0,0
flow_20.35,26.5,3.5,0
flow_00.29,23.5,3.0,0
flow_20.36,25.5,3.5,0
flow_30.35,71.0,4.0,0
flow_10.34,61.0,5.0,0
flow_30.36,71.0,4.0,0
flow_10.35,48.5,4.0,0
flow_10.36,46.5,4.0,0
flow_30.37,71.5,4.5,0
flow_10.37,38.0,4.0,0
flow_30.38,65.5,4.5,0
flow_30.39,46.0,4.0,0
flow_30.40,23.5,3.0,0
flow_10.38,25.5,3.5,0
flow_10.39,24.0,3.0,0
flow_10.40,26.0,3.5,0
flow_10.41,25.0,3.0,0
flow_20.37,59.5,4.0,0
flow_00.30,60.5,4.5,0
flow_20.38,58.5,4.0,0
flow_00.31,57.0,4.0,0
flow_20.39,50.0,4.0,0
flow_00.32,48.0,4.0,0
flow_00.33,47.0,4.0,0
flow_20.40,49.5,4.0,0
flow_20.41,42.0,4.0,0
flow_00.34,46.5,4.5,0
flow_00.35,45.0,4.0,0
flow_20.42,38.5,4.0,0
flow_00.36,43.5,4.5,0
flow_20.43,36.0,4.5,0
flow_00.37,41.5,4.0,0
flow_20.44,36.0,4.5,0
flow_00.38,40.0,4.0,0
flow_20.45,29.5,4.0,0
flow_00.39,28.5,4.0,0
flow_20.46,28.0,4.5,0
flow_20.47,26.5,3.5,0
flow_20.48,25.0,3.0,0
flow_00.40,24.0,3.0,0
flow_20.49,26.0,3.5,0
flow_10.42,48.0,4.0,0
flow_30.41,71.5,4.5,0
flow_30.42,60.0,4.0,0
flow_10.43,48.5,4.0,0
flow_30.43,59.0,4.0,0
flow_10.44,47.5,4.0,0
flow_30.44,39.0,3.5,0
flow_10.45,38.5,4.0,0
flow_30.45,32.0,4.0,0
flow_10.46,37.0,4.0,0
flow_30.46,27.0,4.0,0
flow_30.47,24.5,3.0,0
flow_30.48,24.5,3.0,0
flow_20.50,71.5,4.5,0
flow_00.41,67.5,4.5,0
flow_20.51,65.0,4.0,0
flow_00.42,58.0,4.0,0
flow_20.52,62.5,3.5,0
flow_00.43,49.5,4.0,0
flow_20.53,61.5,3.5,0
flow_00.44,49.0,4.0,0
flow_20.54,57.5,4.0,0
flow_00.45,47.5,4.0,0
flow_20.55,52.5,4.0,0
flow_00.46,42.5,4.0,0
flow_20.56,42.0,4.0,0
flow_00.47,40.5,4.0,0
flow_20.57,28.0,4.0,0
flow_00.48,24.5,3.0,0
flow_10.47,65.5,4.5,0
flow_30.49,32.0,4.0,0
flow_10.48,53.5,4.0,0
flow_30.50,28.5,4.5,0
flow_10.49,36.5,4.0,0
flow_30.51,25.0,3.0,0
flow_10.50,24.5,3.0,0
flow_10.51,24.0,3.0,0
flow_10.52,23.5,2.5,0
flow_10.53,25.5,3.0,0
flow_20.58,54.0,4.0,0
flow_00.49,51.0,4.5,0
flow_20.59,54.0,4.0,0
flow_00.50,49.5,4.0,0
flow_20.60,54.0,4.0,0
flow_00.51,35.5,4.5,0
flow_20.61,47.0,4.0,0
flow_00.52,27.5,4.0,0
flow_20.62,26.5,3.5,0
flow_00.53,25.5,3.5,0
flow_00.54,25.5,3.0,0
flow_20.63,24.0,3.0,0
flow_00.55,28.0,4.0,0
flow_20.64,27.5,4.0,0
flow_20.65,25.5,3.5,0
flow_10.54,66.5,4.0,0
flow_30.52,68.0,4.5,0
flow_30.53,67.0,3.5,0
flow_10.55,67.5,4.0,0
flow_30.54,66.0,3.5,0
flow_10.56,56.5,4.5,0
flow_30.55,65.5,3.5,0
flow_10.57,54.5,4.5,0
flow_30.56,65.0,4.0,0
flow_30.57,56.5,4.0,0
flow_10.58,25.5,3.5,0
flow_30.58,55.0,4.0,0
flow_30.59,54.0,4.0,0
flow_30.60,52.5,4.0,0
flow_10.59,24.5,3.0,0
flow_30.61,51.5,4.0,0
flow_30.62,45.5,4.0,0
flow_30.63,41.0,4.5,0
flow_10.60,24.0,3.0,0
flow_30.64,32.5,4.0,0
flow_30.65,29.5,4.5,0
flow_20.66,66.0,4.5,0
flow_00.56,54.5,4.5,0
flow_20.67,61.0,4.0,0
flow_00.57,54.0,4.0,0
flow_00.58,51.5,4.0,0
flow_20.68,44.0,4.5,0
flow_00.59,42.5,4.0,0
flow_20.69,42.5,4.0,0
flow_00.60,41.5,3.5,0
flow_00.61,44.5,5.0,0
flow_00.62,36.5,4.5,0
flow_20.70,24.0,3.0,0
flow_00.63,34.0,4.5,0
flow_00.64,25.5,3.5,0
flow_20.71,24.5,3.0,0
flow_30.66,75.5,4.0,0
flow_10.61,51.5,4.5,0
flow_30.67,75.0,4.0,0
flow_10.62,40.0,4.0,0
flow_30.68,74.0,4.0,0
flow_10.63,39.0,4.0,0
flow_30.69,73.5,4.0,0
flow_10.64,38.0,4.0,0
flow_30.70,72.0,4.0,0
flow_10.65,36.5,4.0,0
flow_30.71,26.5,3.5,0
flow_10.66,32.0,4.0,0
flow_10.67,30.5,4.5,0
flow_10.68,29.0,4.0,0
flow_10.69,27.5,4.5,0
flow_10.70,24.5,3.0,0
flow_20.72,62.5,4.5,0
flow_00.65,65.5,4.5,0
flow_00.66,65.0,4.0,0
flow_20.73,39.5,4.5,0
flow_20.74,28.5,4.0,0
flow_00.67,57.0,4.5,0
flow_00.68,51.0,4.0,0
flow_00.69,49.5,4.0,0
flow_20.75,24.5,3.0,0
flow_00.70,49.0,4.5,0
flow_00.71,48.0,4.0,0
flow_00.72,46.5,4.5,0
flow_00.73,30.0,4.0,0
flow_00.74,29.0,4.5,0
flow_00.75,27.5,4.5,0
flow_30.72,43.0,4.0,0
flow_10.71,73.5,4.5,0
flow_10.72,72.5,4.0,0
flow_30.73,44.0,4.0,0
flow_10.73,72.0,4.0,0
flow_30.74,41.0,4.0,0
flow_10.74,62.0,3.5,0
flow_30.75,36.0,4.0,0
flow_10.75,54.0,4.0,0
flow_30.76,34.0,4.5,0
flow_10.76,53.0,3.5,0
flow_30.77,26.0,3.5,0
flow_10.77,52.0,4.0,0
flow_30.78,25.0,3.5,0
flow_10.78,51.0,4.5,0
flow_10.79,47.0,4.0,0
flow_10.80,45.5,4.5,0
flow_10.81,44.0,4.0,0
flow_10.82,42.5,4.0,0
flow_10.83,31.5,4.0,0
flow_10.84,29.5,4.0,0
flow_00.76,70.5,4.0,0
flow_20.76,77.0,5.0,0
flow_00.77,71.0,4.0,0
flow_20.77,70.5,4.5,0
flow_00.78,71.0,4.5,0
flow_20.78,69.5,5.0,0
flow_00.79,69.5,4.0,0
flow_20.79,64.5,4.5,0
flow_00.80,68.5,4.0,0
flow_20.80,56.5,4.5,0
flow_00.81,66.0,4.0,0
flow_20.81,34.0,4.0,0
flow_00.82,57.0,4.0,0
flow_00.83,55.5,4.0,0
flow_00.84,54.0,4.0,0
flow_20.82,23.0,2.5,0
flow_00.85,45.5,4.0,0
flow_00.86,45.5,4.5,0
flow_20.83,24.5,3.0,0
flow_00.87,43.5,4.5,0
flow_00.88,33.0,4.5,0
flow_00.89,30.5,4.5,0
flow_30.79,54.0,4.5,0
flow_10.85,77.0,4.5,0
flow_30.80,40.0,4.0,0
flow_10.86,76.5,4.5,0
flow_30.81,31.0,4.0,0
flow_10.87,70.5,4.5,0
flow_10.88,46.5,4.0,0
flow_10.89,36.5,4.0,0
flow_10.90,24.5,3.0,0
flow_10.91,25.0,3.5,0
flow_10.92,25.0,3.5,0
flow_00.90,75.0,4.0,0
flow_00.91,75.0,4.0,0
flow_00.92,73.5,4.0,0
flow_00.93,72.5,3.5,0
flow_00.94,66.0,4.0,0
flow_00.95,64.0,3.5,0
flow_00.96,49.5,4.0,0
flow_20.84,24.0,3.0,0
flow_00.97,48.0,4.0,0
flow_00.98,46.5,4.0,0
flow_20.85,25.0,3.0,0
flow_00.99,46.0,4.0,0
flow_00.100,38.5,4.0,0
flow_00.101,38.0,4.5,0
flow_20.86,25.0,3.0,0
flow_00.102,26.0,4.0,0
flow_10.93,71.0,4.5,0
flow_30.82,73.5,4.5,0
flow_30.83,65.5,4.0,0
flow_10.94,71.0,4.0,0
