vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,25.5,3.5,0
flow_00.1,25.5,3.5,0
flow_20.0,24.0,3.0,0
flow_30.0,55.5,4.5,0
flow_10.0,47.5,4.5,0
flow_10.1,44.5,4.0,0
flow_30.1,55.5,4.0,0
flow_10.2,41.5,4.5,0
flow_10.3,40.0,4.0,0
flow_10.4,33.5,4.0,0
flow_10.5,26.5,3.5,0
flow_00.2,48.0,4.0,0
flow_20.1,66.5,5.0,0
flow_00.3,42.0,4.0,0
flow_00.4,39.5,4.0,0
flow_00.5,27.0,3.5,0
flow_20.2,26.0,3.5,0
flow_00.6,25.0,3.0,0
flow_20.3,25.0,3.5,0
flow_00.7,27.0,4.0,0
flow_10.6,56.0,4.5,0
flow_30.2,23.5,3.0,0
flow_10.7,43.5,4.0,0
flow_30.3,26.5,3.5,0
flow_30.4,24.5,3.0,0
flow_30.5,25.0,3.5,0
flow_30.6,24.5,3.0,0
flow_20.4,55.0,4.0,0
flow_00.8,73.0,4.5,0
flow_20.5,55.5,4.0,0
flow_00.9,72.5,4.0,0
flow_20.6,54.0,4.0,0
flow_00.10,65.5,4.0,0
flow_20.7,53.0,3.5,0
flow_00.11,65.0,4.0,0
flow_20.8,51.5,4.0,0
flow_00.12,63.5,4.0,0
flow_00.13,61.0,4.0,0
flow_20.9,34.5,3.5,0
flow_20.10,33.0,4.0,0
flow_20.11,32.0,4.0,0
flow_00.14,23.0,2.5,0
flow_20.12,31.0,4.0,0
flow_20.13,28.0,4.5,0
flow_00.15,25.5,3.5,0
flow_10.8,62.0,4.5,0
flow_30.7,61.5,4.5,0
flow_10.9,61.5,4.0,0
flow_30.8,56.0,4.0,0
flow_30.9,39.0,4.0,0
flow_30.10,26.0,3.5,0
flow_30.11,24.5,3.0,0
flow_20.14,64.0,4.5,0
flow_00.16,44.5,4.5,0
flow_20.15,64.0,4.0,0
flow_00.17,44.5,4.0,0
flow_00.18,43.5,4.0,0
flow_20.16,63.5,4.0,0
flow_20.17,59.0,4.0,0
flow_00.19,44.0,4.5,0
flow_20.18,57.5,4.0,0
flow_00.20,42.5,4.0,0
flow_20.19,43.5,4.0,0
flow_00.21,40.5,4.5,0
flow_20.20,39.0,4.0,0
flow_20.21,25.5,3.5,0
flow_10.10,35.5,4.0,0
flow_30.12,66.0,4.5,0
flow_10.11,28.5,3.5,0
flow_10.12,27.5,4.0,0
flow_10.13,24.5,3.0,0
flow_10.14,25.0,3.5,0
flow_30.13,24.5,3.0,0
flow_30.14,24.5,3.0,0
flow_00.22,70.5,4.0,0
flow_20.22,57.5,4.5,0
flow_20.23,51.0,4.0,0
flow_00.23,56.0,4.5,0
flow_20.24,44.0,4.0,0
flow_20.25,42.5,3.5,0
flow_00.24,24.5,3.0,0
flow_20.26,41.0,4.0,0
flow_20.27,29.5,3.5,0
flow_00.25,25.0,3.5,0
flow_20.28,25.0,3.5,0
flow_00.26,24.5,3.0,0
flow_20.29,26.0,3.5,0
flow_20.30,25.0,3.5,0
flow_00.27,23.5,3.0,0
flow_20.31,24.5,3.0,0
flow_10.15,66.5,4.5,0
flow_30.15,70.0,4.5,0
flow_30.16,69.0,4.0,0
flow_10.16,26.5,4.0,0
flow_30.17,63.0,4.0,0
flow_30.18,60.0,4.0,0
flow_30.19,26.5,3.5,0
flow_00.28,72.5,4.0,0
flow_20.32,64.0,4.5,0
flow_20.33,63.5,4.0,0
flow_00.29,59.5,4.0,0
flow_20.34,44.5,4.0,0
flow_00.30,54.5,4.0,0
flow_20.35,44.0,4.0,0
flow_20.36,42.5,4.0,0
flow_20.37,41.0,3.5,0
flow_00.31,24.5,3.0,0
flow_20.38,40.5,4.0,0
flow_00.32,25.0,3.5,0
flow_00.33,25.0,3.0,0
flow_00.34,26.0,3.5,0
flow_20.39,23.5,3.0,0
flow_10.17,30.5,4.0,0
flow_30.20,48.0,5.0,0
flow_10.18,30.0,3.5,0
flow_30.21,46.0,4.0,0
flow_30.22,35.0,4.0,0
flow_30.23,26.5,4.0,0
flow_10.19,28.0,4.5,0
flow_30.24,26.5,3.5,0
flow_20.40,68.0,4.0,0
flow_00.35,70.0,4.5,0
flow_20.41,68.5,4.0,0
flow_00.36,69.0,4.0,0
flow_20.42,65.0,4.0,0
flow_00.37,69.0,4.5,0
flow_20.43,63.5,3.5,0
flow_00.38,37.0,4.0,0
flow_20.44,63.0,4.0,0
flow_20.45,42.0,4.0,0
flow_20.46,40.5,4.0,0
flow_20.47,23.5,3.0,0
flow_00.39,24.0,3.0,0
flow_30.25,44.5,4.5,0
flow_30.26,24.0,3.0,0
flow_10.20,25.0,3.5,0
flow_20.48,72.5,4.5,0
flow_00.40,72.5,4.5,0
flow_00.41,53.0,4.0,0
flow_20.49,49.0,4.0,0
flow_20.50,47.0,4.0,0
flow_00.42,53.5,4.5,0
flow_20.51,28.5,4.0,0
flow_00.43,30.5,4.0,0
flow_20.52,26.0,4.0,0
flow_00.44,28.5,4.5,0
flow_00.45,27.5,4.0,0
flow_20.53,24.5,3.0,0
flow_20.54,24.5,3.0,0
flow_00.46,25.0,3.5,0
flow_00.47,24.0,3.0,0
flow_00.48,25.5,3.0,0
flow_10.21,72.5,4.5,0
flow_30.27,52.5,4.5,0
flow_10.22,41.0,4.0,0
flow_30.28,51.5,4.0,0
flow_30.29,38.5,4.0,0
flow_10.23,26.0,3.0,0
flow_30.30,38.5,4.0,0
flow_10.24,26.0,3.5,0
flow_10.25,24.5,3.0,0
flow_10.26,26.5,3.5,0
flow_00.49,73.0,4.5,0
flow_20.55,64.0,4.5,0
flow_00.50,72.0,4.0,0
flow_20.56,46.0,4.5,0
flow_00.51,52.0,4.0,0
flow_20.57,45.0,4.5,0
flow_00.52,41.5,4.0,0
flow_20.58,24.5,3.0,0
flow_00.53,35.0,4.5,0
flow_00.54,33.5,4.0,0
flow_00.55,32.5,4.0,0
flow_00.56,32.0,4.0,0
flow_20.59,25.5,3.5,0
flow_00.57,30.5,4.5,0
flow_00.58,29.0,4.5,0
flow_00.59,26.0,4.0,0
flow_10.27,30.0,4.0,0
flow_30.31,60.5,4.5,0
flow_30.32,48.0,4.0,0
flow_10.28,22.5,2.5,0
flow_30.33,25.5,3.0,0
flow_30.34,25.5,3.5,0
flow_00.60,74.0,4.5,0
flow_20.60,48.0,4.5,0
flow_00.61,73.5,3.5,0
flow_20.61,41.5,4.0,0
flow_00.62,72.5,3.5,0
flow_00.63,61.0,3.5,0
flow_00.64,59.5,4.0,0
flow_00.65,26.0,3.5,0
flow_00.66,25.5,3.5,0
flow_20.62,25.5,3.5,0
flow_20.63,26.0,3.5,0
flow_00.67,26.5,3.5,0
flow_30.35,55.5,4.5,0
flow_30.36,54.0,4.0,0
flow_30.37,25.0,3.5,0
flow_10.29,25.5,3.5,0
flow_20.64,61.5,4.0,0
flow_00.68,71.5,4.5,0
flow_20.65,59.0,3.5,0
flow_00.69,64.5,4.0,0
flow_20.66,58.5,4.0,0
flow_00.70,61.0,4.0,0
flow_00.71,60.0,4.0,0
flow_20.67,47.0,4.0,0
flow_00.72,60.0,4.5,0
flow_00.73,47.0,4.5,0
flow_20.68,24.5,3.0,0
flow_20.69,24.5,3.0,0
flow_00.74,24.5,3.0,0
flow_30.38,37.5,4.5,0
flow_10.30,42.0,4.5,0
flow_10.31,39.5,4.0,0
flow_30.39,38.5,4.5,0
flow_10.32,27.0,3.5,0
flow_30.40,24.0,3.0,0
flow_30.41,24.0,3.0,0
flow_20.70,64.5,4.5,0
flow_00.75,66.0,5.0,0
flow_20.71,40.5,4.0,0
flow_00.76,64.5,4.0,0
flow_00.77,63.0,4.0,0
flow_00.78,61.5,4.0,0
flow_00.79,58.5,4.5,0
flow_00.80,51.5,4.0,0
flow_20.72,24.5,3.0,0
flow_00.81,40.5,4.5,0
flow_00.82,30.0,4.5,0
flow_00.83,25.5,3.5,0
flow_20.73,25.5,3.5,0
flow_20.74,24.5,3.0,0
flow_00.84,24.0,2.5,0
flow_30.42,35.5,4.0,0
flow_10.33,70.5,4.0,0
flow_30.43,30.0,3.5,0
flow_10.34,66.5,4.0,0
flow_30.44,29.5,3.5,0
flow_10.35,56.5,4.0,0
flow_10.36,28.0,4.0,0
flow_10.37,26.5,4.0,0
flow_10.38,23.5,3.0,0
flow_00.85,72.0,4.0,0
flow_20.75,74.0,4.5,0
flow_20.76,72.5,4.0,0
flow_00.86,72.5,4.0,0
flow_20.77,36.5,4.0,0
flow_00.87,72.0,4.0,0
flow_20.78,35.0,3.5,0
flow_00.88,70.5,4.0,0
flow_00.89,68.5,4.0,0
flow_20.79,33.5,4.0,0
flow_00.90,63.0,4.0,0
flow_20.80,32.0,4.5,0
flow_00.91,45.5,4.0,0
flow_00.92,40.0,4.5,0
flow_20.81,23.0,2.5,0
flow_10.39,46.0,4.5,0
flow_30.45,42.0,4.5,0
flow_10.40,32.0,4.0,0
flow_30.46,25.5,3.5,0
flow_30.47,27.0,4.0,0
flow_10.41,24.0,3.0,0
flow_00.93,63.0,4.5,0
