vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,21.0,1.5,0
flow_10.0,54.0,4.0,0
flow_30.0,49.5,4.0,0
flow_10.1,38.0,3.0,0
flow_30.1,35.5,3.0,0
flow_10.2,38.0,3.0,0
flow_10.3,37.0,3.0,0
flow_10.4,35.5,2.5,0
flow_30.2,20.0,1.5,0
flow_30.3,21.0,2.0,0
flow_20.0,45.0,4.0,0
flow_00.1,69.5,4.0,0
flow_00.2,48.0,3.0,0
flow_20.1,23.0,2.0,0
flow_00.3,36.0,3.0,0
flow_00.4,34.5,2.5,0
flow_00.5,33.0,2.5,0
flow_20.2,20.0,1.5,0
flow_00.6,21.5,2.0,0
flow_10.5,47.5,4.0,0
flow_10.6,46.5,3.0,0
flow_10.7,46.0,3.0,0
flow_30.4,22.5,2.0,0
flow_10.8,21.5,2.0,0
flow_10.9,20.5,1.5,0
flow_30.5,20.5,1.5,0
flow_30.6,21.0,2.0,0
flow_00.7,32.5,4.0,0
flow_20.3,49.0,4.0,0
flow_00.8,22.0,2.0,0
flow_00.9,21.0,2.0,0
flow_20.4,20.0,1.5,0
flow_20.5,20.5,1.5,0
flow_10.10,45.0,4.0,0
flow_10.11,23.0,2.0,0
flow_30.7,21.5,2.0,0
flow_30.8,21.0,2.0,0
flow_00.10,39.0,4.0,0
flow_20.6,57.5,4.0,0
flow_00.11,34.5,3.0,0
flow_20.7,57.5,3.0,0
flow_20.8,53.0,3.0,0
flow_20.9,49.0,3.0,0
flow_20.10,47.0,2.5,0
flow_20.11,34.5,2.5,0
flow_00.12,21.0,1.5,0
flow_30.9,68.5,4.0,0
flow_10.12,70.0,4.0,0
flow_30.10,67.0,3.0,0
flow_10.13,63.5,3.0,0
flow_10.14,62.5,3.0,0
flow_10.15,38.0,3.0,0
flow_10.16,23.5,2.5,0
flow_30.11,20.5,1.5,0
flow_30.12,21.0,2.0,0
flow_10.17,21.5,2.0,0
flow_10.18,21.5,2.0,0
flow_00.13,44.0,4.0,0
flow_20.12,33.5,4.0,0
flow_00.14,24.0,2.5,0
flow_20.13,30.5,3.5,0
flow_20.14,26.5,2.5,0
flow_00.15,22.0,2.0,0
flow_00.16,20.5,1.5,0
flow_30.13,31.5,4.0,0
flow_10.19,68.0,4.0,0
