vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_20.0,20.5,1.5,0
flow_00.0,21.0,1.5,0
flow_20.1,22.5,2.0,0
flow_20.2,22.0,2.0,0
flow_20.3,21.0,1.5,0
flow_00.1,21.5,2.0,0
flow_10.0,51.0,4.0,0
flow_30.0,40.0,4.0,0
flow_30.1,39.0,3.0,0
flow_10.1,20.5,1.5,0
flow_30.2,21.0,1.5,0
flow_30.3,21.0,1.5,0
flow_30.4,21.5,2.0,0
flow_10.2,20.5,1.5,0
flow_30.5,21.0,2.0,0
flow_30.6,22.5,2.0,0
flow_30.7,21.0,2.0,0
flow_00.2,66.5,4.0,0
flow_20.4,60.0,4.0,0
flow_20.5,59.5,3.5,0
flow_00.3,23.5,2.5,0
flow_20.6,56.0,3.0,0
flow_00.4,21.0,2.0,0
flow_20.7,55.0,3.0,0
flow_20.8,49.5,3.0,0
flow_20.9,34.0,2.5,0
flow_20.10,32.5,2.5,0
flow_20.11,29.5,2.5,0
flow_00.5,21.0,1.5,0
flow_20.12,22.5,2.0,0
flow_00.6,21.0,2.0,0
flow_20.13,20.0,1.5,0
flow_20.14,21.0,2.0,0
flow_10.3,69.5,4.0,0
flow_30.8,43.0,4.0,0
flow_10.4,27.0,3.0,0
flow_30.9,42.5,3.0,0
flow_30.10,42.0,3.0,0
flow_10.5,22.0,2.0,0
flow_30.11,25.5,2.5,0
flow_10.6,21.0,2.0,0
flow_30.12,20.5,1.5,0
flow_10.7,21.0,2.0,0
flow_10.8,21.0,2.0,0
flow_10.9,20.5,1.5,0
flow_20.15,67.0,4.0,0
flow_00.7,48.0,4.0,0
flow_00.8,30.0,3.0,0
flow_20.16,66.5,3.0,0
flow_20.17,54.5,3.0,0
flow_00.9,27.0,2.5,0
flow_20.18,48.5,3.0,0
flow_20.19,47.0,3.0,0
flow_20.20,44.0,2.5,0
flow_20.21,26.0,2.5,0
flow_00.10,21.5,2.0,0
flow_20.22,23.0,2.5,0
flow_20.23,21.5,2.0,0
flow_20.24,22.0,2.0,0
flow_00.11,21.5,1.5,0
flow_20.25,22.0,1.5,0
flow_10.10,69.0,4.0,0
flow_30.13,66.0,4.0,0
flow_30.14,65.0,3.0,0
flow_10.11,58.5,3.0,0
flow_30.15,63.5,3.0,0
flow_10.12,57.0,3.0,0
flow_30.16,62.5,2.5,0
flow_10.13,34.0,2.5,0
flow_10.14,25.0,2.5,0
flow_30.17,59.5,3.0,0
flow_10.15,23.5,2.5,0
flow_30.18,47.5,2.5,0
flow_30.19,40.0,2.5,0
flow_10.16,22.5,2.0,0
flow_10.17,22.5,2.0,0
flow_10.18,22.0,2.0,0
flow_30.20,21.5,2.0,0
flow_10.19,22.0,2.0,0
flow_30.21,22.0,2.0,0
flow_20.26,71.0,4.0,0
flow_00.12,64.5,4.0,0
flow_00.13,64.5,3.0,0
flow_20.27,50.5,3.0,0
flow_20.28,40.0,3.0,0
flow_00.14,64.5,3.0,0
flow_00.15,38.0,3.0,0
flow_20.29,35.5,3.0,0
flow_00.16,30.5,3.0,0
flow_20.30,24.5,2.0,0
flow_00.17,28.5,2.5,0
flow_20.31,22.0,2.0,0
flow_00.18,20.5,2.0,0
flow_00.19,20.5,2.0,0
flow_00.20,22.0,1.5,0
flow_00.21,21.5,1.5,0
flow_20.32,20.5,1.5,0
flow_30.22,48.5,4.0,0
flow_10.20,63.0,4.0,0
flow_30.23,47.5,3.0,0
flow_10.21,63.0,3.5,0
flow_30.24,20.5,2.0,0
flow_10.22,62.0,3.5,0
flow_10.23,60.5,3.0,0
flow_10.24,59.0,3.0,0
flow_30.25,20.0,1.5,0
flow_10.25,57.0,3.0,0
flow_10.26,47.5,3.0,0
flow_10.27,46.5,3.0,0
flow_10.28,41.0,3.0,0
flow_10.29,38.0,2.5,0
flow_10.30,33.5,2.5,0
flow_10.31,30.5,2.5,0
flow_20.33,62.0,4.0,0
flow_00.22,42.0,4.0,0
flow_20.34,33.0,3.0,0
flow_00.23,41.5,3.0,0
flow_00.24,40.0,3.0,0
flow_20.35,32.5,3.0,0
flow_00.25,30.5,2.5,0
flow_20.36,23.0,2.5,0
flow_00.26,29.0,2.5,0
flow_00.27,27.5,2.5,0
flow_00.28,25.5,2.5,0
flow_00.29,24.0,2.0,0
flow_00.30,22.0,1.5,0
flow_20.37,20.5,1.5,0
flow_20.38,21.0,1.5,0
flow_00.31,21.5,2.0,0
flow_10.32,64.0,4.0,0
flow_30.26,57.0,4.0,0
flow_10.33,63.5,3.0,0
flow_30.27,50.0,3.0,0
flow_30.28,38.5,3.0,0
flow_10.34,65.0,3.5,0
flow_30.29,37.5,3.0,0
flow_10.35,22.0,2.0,0
flow_30.30,35.0,3.0,0
flow_30.31,22.0,2.0,0
flow_10.36,22.0,2.0,0
flow_10.37,22.0,2.0,0
flow_30.32,20.5,1.5,0
flow_20.39,66.5,4.0,0
flow_00.32,70.5,4.0,0
flow_20.40,60.0,3.0,0
flow_00.33,57.5,3.0,0
flow_20.41,59.0,3.0,0
flow_00.34,46.5,3.0,0
flow_20.42,54.0,3.0,0
flow_00.35,39.0,3.0,0
flow_20.43,52.5,2.5,0
flow_00.36,31.5,2.5,0
flow_20.44,51.0,2.5,0
flow_00.37,31.0,3.0,0
flow_20.45,28.0,2.5,0
flow_00.38,24.0,2.5,0
flow_20.46,26.5,2.5,0
flow_20.47,25.5,2.5,0
flow_20.48,21.5,2.0,0
flow_00.39,21.5,2.0,0
flow_10.38,67.5,4.0,0
flow_30.33,60.0,4.0,0
flow_30.34,57.5,3.0,0
flow_10.39,65.0,3.5,0
flow_30.35,52.0,3.0,0
flow_10.40,62.5,3.0,0
flow_30.36,48.5,2.5,0
flow_10.41,61.0,3.0,0
flow_30.37,24.0,2.5,0
flow_10.42,57.0,2.5,0
flow_30.38,22.5,2.0,0
flow_10.43,50.0,2.5,0
flow_10.44,48.0,2.5,0
flow_10.45,42.5,2.5,0
flow_10.46,41.0,2.5,0
flow_30.39,20.0,1.5,0
flow_10.47,40.0,2.5,0
flow_10.48,37.0,3.0,0
flow_10.49,27.0,3.0,0
flow_10.50,21.0,2.0,0
flow_20.49,72.0,4.0,0
flow_00.40,69.0,4.0,0
flow_20.50,71.0,3.0,0
flow_00.41,67.5,3.0,0
flow_00.42,66.0,3.0,0
flow_20.51,41.0,3.0,0
flow_00.43,65.0,2.5,0
flow_20.52,38.5,3.0,0
flow_00.44,60.0,3.0,0
flow_00.45,59.0,2.5,0
flow_20.53,21.0,1.5,0
flow_00.46,57.5,2.5,0
flow_00.47,53.5,2.5,0
flow_20.54,21.5,2.0,0
flow_00.48,45.5,2.5,0
flow_00.49,37.0,3.0,0
flow_00.50,22.5,2.0,0
flow_20.55,21.0,1.5,0
flow_20.56,20.5,2.0,0
flow_00.51,21.5,2.0,0
flow_10.51,71.5,4.0,0
flow_30.40,64.5,4.0,0
flow_30.41,60.0,3.0,0
flow_10.52,28.5,3.0,0
flow_10.53,22.5,2.5,0
flow_30.42,46.5,3.0,0
flow_30.43,40.0,3.0,0
flow_30.44,22.5,2.0,0
flow_20.57,71.0,4.0,0
flow_00.52,60.5,4.0,0
flow_20.58,71.0,3.0,0
flow_00.53,47.5,3.0,0
flow_20.59,60.0,3.0,0
flow_00.54,40.5,3.0,0
flow_20.60,55.0,3.0,0
flow_00.55,39.5,3.0,0
flow_20.61,53.5,2.5,0
flow_00.56,38.5,3.0,0
flow_20.62,45.0,2.5,0
flow_00.57,37.0,3.0,0
flow_20.63,42.5,2.5,0
flow_20.64,41.5,2.5,0
flow_20.65,35.0,2.5,0
