vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_20.0,22.0,2.0,0
flow_00.0,21.0,1.5,0
flow_00.1,20.5,1.5,0
flow_20.1,21.5,2.0,0
flow_00.2,22.0,2.0,0
flow_30.0,44.5,4.0,0
flow_30.1,44.5,3.0,0
flow_30.2,32.0,3.0,0
flow_10.0,22.5,2.0,0
flow_30.3,31.0,3.0,0
flow_30.4,21.0,1.5,0
flow_30.5,21.0,2.0,0
flow_00.3,66.0,4.0,0
flow_20.2,60.5,4.0,0
flow_00.4,64.0,3.0,0
flow_00.5,35.0,3.0,0
flow_00.6,33.5,2.5,0
flow_20.3,21.0,1.5,0
flow_00.7,22.0,2.0,0
flow_00.8,21.0,2.0,0
flow_00.9,21.0,2.0,0
flow_00.10,22.0,2.0,0
flow_30.6,61.5,4.0,0
flow_30.7,46.0,3.0,0
flow_30.8,22.0,2.0,0
flow_10.1,20.5,1.5,0
flow_30.9,21.0,1.5,0
flow_30.10,21.5,2.0,0
flow_00.11,60.5,4.0,0
flow_20.4,57.5,4.0,0
flow_00.12,60.0,3.0,0
flow_20.5,46.0,3.0,0
flow_00.13,43.5,3.0,0
flow_00.14,22.0,2.0,0
flow_00.15,21.5,2.0,0
flow_00.16,22.5,2.0,0
flow_00.17,20.5,1.5,0
flow_10.2,67.5,4.0,0
flow_30.11,56.5,4.0,0
flow_30.12,56.0,3.0,0
flow_10.3,67.5,3.0,0
flow_10.4,41.5,3.0,0
flow_30.13,56.0,3.0,0
flow_30.14,54.5,3.0,0
flow_10.5,40.0,3.0,0
flow_10.6,23.5,2.5,0
flow_30.15,49.0,3.0,0
flow_10.7,20.0,1.5,0
flow_30.16,21.0,1.5,0
flow_30.17,20.5,2.0,0
flow_30.18,22.5,2.0,0
flow_10.8,21.0,1.5,0
flow_00.18,64.0,4.0,0
flow_20.6,66.5,4.0,0
flow_20.7,32.0,3.0,0
flow_00.19,54.0,3.0,0
flow_20.8,31.0,3.0,0
flow_00.20,53.0,3.0,0
flow_00.21,42.0,3.0,0
flow_20.9,21.0,2.0,0
flow_00.22,38.5,3.0,0
flow_20.10,21.5,2.0,0
flow_00.23,36.5,3.0,0
flow_00.24,25.0,3.0,0
flow_20.11,21.5,1.5,0
flow_00.25,23.0,2.0,0
flow_00.26,21.0,1.5,0
flow_10.9,71.5,4.0,0
flow_30.19,62.0,4.0,0
flow_30.20,58.5,3.0,0
flow_10.10,45.0,3.0,0
flow_30.21,57.5,3.0,0
flow_10.11,43.5,3.0,0
flow_30.22,56.5,3.0,0
flow_10.12,21.5,2.0,0
flow_30.23,48.5,3.0,0
flow_30.24,46.5,2.5,0
flow_30.25,35.0,2.5,0
flow_30.26,28.0,2.5,0
flow_30.27,21.0,2.0,0
flow_30.28,21.5,2.0,0
flow_00.27,70.0,4.0,0
flow_20.12,61.5,4.0,0
flow_00.28,63.0,3.0,0
flow_20.13,61.5,3.0,0
flow_00.29,47.0,3.0,0
flow_20.14,60.5,3.0,0
flow_00.30,45.5,2.5,0
flow_20.15,59.0,3.0,0
flow_20.16,49.0,2.5,0
flow_00.31,43.5,3.0,0
flow_00.32,21.5,2.0,0
flow_00.33,22.0,2.0,0
flow_00.34,22.0,2.0,0
flow_30.29,69.5,4.0,0
flow_10.13,21.0,1.5,0
flow_30.30,70.5,3.5,0
flow_30.31,58.0,3.0,0
flow_30.32,36.0,3.0,0
flow_10.14,20.5,1.5,0
flow_30.33,34.5,3.0,0
flow_30.34,32.5,2.5,0
flow_10.15,21.0,1.5,0
flow_00.35,54.5,4.0,0
flow_20.17,43.0,4.0,0
flow_00.36,54.5,3.0,0
flow_00.37,29.5,3.0,0
flow_00.38,29.0,3.0,0
flow_00.39,21.0,1.5,0
flow_20.18,20.0,1.5,0
flow_00.40,21.0,2.0,0
flow_00.41,21.0,2.0,0
flow_00.42,21.0,2.0,0
flow_00.43,20.5,2.0,0
flow_30.35,67.5,4.0,0
flow_10.16,54.0,4.0,0
flow_10.17,50.5,3.0,0
flow_30.36,57.5,3.0,0
flow_30.37,57.5,3.0,0
flow_30.38,56.0,3.0,0
flow_10.18,20.5,1.5,0
flow_30.39,43.5,3.0,0
flow_30.40,38.0,2.5,0
flow_10.19,21.0,1.5,0
flow_30.41,20.0,1.5,0
flow_30.42,21.5,2.0,0
flow_10.20,20.5,1.5,0
flow_30.43,22.0,1.5,0
flow_00.44,68.0,4.0,0
flow_20.19,70.5,4.0,0
flow_20.20,66.0,3.0,0
flow_00.45,55.5,3.0,0
flow_20.21,54.5,3.0,0
flow_00.46,53.5,3.0,0
flow_00.47,39.5,2.5,0
flow_20.22,53.5,3.0,0
flow_00.48,31.0,2.5,0
flow_20.23,52.0,3.0,0
flow_20.24,50.5,2.5,0
flow_00.49,30.0,2.5,0
flow_00.50,23.0,2.0,0
flow_20.25,20.5,1.5,0
flow_00.51,21.0,1.5,0
flow_20.26,21.0,1.5,0
flow_30.44,51.0,4.0,0
flow_10.21,71.0,4.0,0
flow_10.22,57.0,3.0,0
flow_30.45,51.0,3.0,0
flow_30.46,50.0,3.0,0
flow_30.47,48.5,3.0,0
flow_30.48,46.5,2.5,0
flow_10.23,21.5,2.0,0
flow_30.49,45.0,2.5,0
flow_30.50,41.5,2.5,0
flow_30.51,33.5,2.5,0
flow_30.52,29.5,2.5,0
flow_30.53,23.0,2.5,0
flow_10.24,19.5,1.5,0
flow_00.52,72.0,4.0,0
flow_20.27,52.5,4.0,0
flow_20.28,45.0,3.0,0
flow_00.53,72.0,3.0,0
flow_20.29,43.5,3.0,0
flow_00.54,70.5,3.0,0
flow_00.55,69.0,3.0,0
flow_20.30,26.0,2.5,0
flow_00.56,62.0,2.5,0
flow_00.57,59.5,2.5,0
flow_00.58,47.5,2.5,0
flow_00.59,20.5,1.5,0
flow_00.60,20.5,1.5,0
flow_10.25,70.5,4.0,0
flow_30.54,37.0,4.0,0
flow_30.55,36.5,3.0,0
flow_10.26,31.0,3.5,0
flow_10.27,29.5,3.0,0
flow_10.28,28.0,3.0,0
flow_10.29,26.5,2.5,0
flow_00.61,59.5,4.0,0
flow_20.31,68.0,4.0,0
flow_00.62,58.5,3.0,0
flow_20.32,58.0,3.0,0
flow_00.63,57.5,3.0,0
flow_00.64,56.5,2.5,0
flow_00.65,55.0,2.5,0
flow_00.66,53.5,2.5,0
flow_00.67,52.5,2.5,0
flow_00.68,51.5,2.5,0
flow_20.33,21.0,1.5,0
flow_00.69,49.5,2.5,0
flow_00.70,47.5,3.0,0
flow_00.71,46.0,2.5,0
flow_00.72,44.5,3.0,0
flow_00.73,29.0,2.5,0
flow_20.34,22.0,2.0,0
flow_00.74,25.5,2.5,0
flow_00.75,24.0,2.0,0
flow_30.56,48.5,4.0,0
