vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_20.0,20.5,1.5,0
flow_2012.0,26.5,3.5,0
flow_001.0,26.5,3.0,0
flow_0012.0,26.0,4.0,0
flow_10.0,48.5,4.0,0
flow_301.0,53.5,3.5,0
flow_301.1,32.0,3.5,0
flow_1012.0,38.5,5.5,0
flow_1012.1,30.5,4.5,0
flow_101.0,27.0,3.0,0
flow_301.2,31.5,4.0,0
flow_301.3,30.0,3.5,0
flow_30.0,26.0,3.0,0
flow_3012.0,27.0,3.5,0
flow_3012.1,26.0,3.5,0
flow_301.4,26.0,3.0,0
flow_101.1,26.5,3.0,0
flow_00.0,69.0,4.0,0
flow_201.0,71.5,3.5,0
flow_001.1,72.0,3.5,0
flow_2012.1,71.0,5.5,0
flow_201.1,68.5,3.5,0
flow_20.1,57.5,3.0,0
flow_001.2,73.0,4.0,0
flow_001.3,72.5,3.5,0
flow_0012.1,70.5,4.0,0
flow_2012.2,60.5,5.0,0
flow_00.1,69.0,4.0,0
flow_2012.3,59.0,4.5,0
flow_2012.4,60.5,7.0,0
flow_20.2,57.0,4.0,0
flow_00.2,71.5,6.5,0
flow_001.4,70.0,3.5,0
flow_0012.2,68.5,3.5,0
flow_2012.5,58.5,4.5,0
flow_001.5,64.0,3.0,0
flow_201.2,56.5,3.5,0
flow_00.3,55.0,2.5,0
flow_20.3,47.0,3.0,0
flow_10.1,65.5,4.0,0
flow_1012.2,63.5,3.5,0
flow_3012.2,28.5,3.5,0
flow_10.2,54.0,3.0,0
flow_10.3,52.5,2.5,0
flow_1012.3,36.5,3.5,0
flow_101.2,24.5,2.5,0
flow_20.4,84.0,4.0,0
flow_0012.3,106.5,7.5,0
flow_001.6,87.0,3.0,0
flow_201.3,89.0,3.0,0
flow_20.5,86.5,3.0,0
flow_001.7,87.0,3.0,0
flow_0012.4,85.0,5.0,0
flow_2012.6,85.5,3.5,0
flow_201.4,85.5,3.0,0
flow_001.8,82.5,3.5,0
flow_201.5,47.5,3.5,0
flow_0012.5,84.0,6.5,0
flow_0012.6,81.5,4.5,0
flow_20.6,49.0,5.0,0
flow_0012.7,75.5,7.5,0
flow_00.4,73.0,3.5,0
flow_00.5,72.0,3.0,0
flow_201.6,44.5,3.0,0
flow_10.4,67.5,4.0,0
flow_30.1,49.0,4.0,0
flow_30.2,49.0,3.0,0
flow_10.5,56.5,3.5,0
flow_101.3,56.0,3.0,0
flow_301.5,49.5,3.0,0
flow_30.3,45.5,2.5,0
flow_101.4,53.5,3.0,0
