vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_30.0,23.5,3.0,0
flow_00.0,33.5,4.5,0
flow_30.1,28.0,4.0,0
flow_30.2,23.5,2.5,0
flow_20.0,42.5,4.5,0
flow_20.1,34.5,3.5,0
flow_20.2,30.0,4.0,0
flow_30.3,30.5,4.0,0
flow_10.0,43.0,5.5,0
flow_30.4,31.5,4.0,0
flow_10.1,41.0,4.5,0
flow_20.3,29.5,4.0,0
flow_00.1,40.0,4.5,0
flow_00.2,36.5,4.0,0
flow_20.4,27.5,4.0,0
flow_00.3,34.0,4.0,0
flow_30.5,27.5,4.0,0
flow_20.5,45.0,4.5,0
flow_00.4,32.0,4.5,0
flow_20.6,41.0,4.0,0
flow_30.6,39.5,4.5,0
flow_10.2,25.0,3.5,0
flow_30.7,28.5,4.0,0
flow_30.8,27.0,3.5,0
flow_20.7,28.5,4.0,0
flow_00.5,25.5,3.5,0
flow_10.3,33.0,4.5,0
flow_30.9,44.5,4.5,0
flow_30.10,44.0,4.0,0
flow_30.11,42.5,4.0,0
flow_20.8,42.5,4.0,0
flow_00.6,35.5,4.5,0
flow_00.7,31.5,4.0,0
flow_00.8,30.0,3.5,0
flow_00.9,29.0,4.0,0
flow_10.4,42.5,4.0,0
flow_30.12,57.5,4.5,0
flow_10.5,43.5,4.0,0
flow_10.6,40.0,3.5,0
flow_30.13,26.0,3.5,0
flow_00.10,44.5,4.5,0
flow_20.9,44.0,4.5,0
flow_20.10,42.0,4.0,0
flow_20.11,32.0,3.5,0
flow_10.7,28.0,4.0,0
flow_30.14,32.5,4.0,0
flow_20.12,50.0,4.5,0
flow_20.13,48.5,4.0,0
flow_00.11,24.5,3.0,0
flow_10.8,25.5,3.5,0
flow_00.12,40.5,4.5,0
flow_20.14,25.0,3.5,0
flow_00.13,26.5,3.5,0
flow_10.9,33.0,4.0,0
flow_30.15,44.5,4.5,0
flow_10.10,29.0,3.5,0
flow_30.16,28.0,4.0,0
flow_30.17,24.0,3.0,0
flow_20.15,45.0,5.0,0
flow_00.14,24.5,3.0,0
flow_10.11,26.0,3.5,0
flow_10.12,32.0,4.0,0
flow_30.18,26.5,3.5,0
flow_10.13,24.0,3.0,0
flow_00.15,42.5,4.5,0
flow_20.16,26.0,4.0,0
flow_10.14,32.0,4.5,0
flow_20.17,42.5,4.5,0
flow_00.16,32.0,4.0,0
flow_20.18,27.0,3.5,0
flow_30.19,26.5,3.5,0
flow_10.15,24.5,3.0,0
flow_00.17,43.5,4.5,0
flow_10.16,46.5,4.5,0
