vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_30.0,23.5,3.0,0
flow_20.0,39.0,4.5,0
flow_00.0,41.5,5.0,0
flow_20.1,38.0,4.0,0
flow_00.1,29.5,4.5,0
flow_10.0,40.0,4.5,0
flow_30.1,40.5,4.5,0
flow_30.2,31.0,4.0,0
flow_10.1,40.5,4.0,0
flow_10.2,36.5,4.0,0
flow_20.2,39.5,4.0,0
flow_00.2,35.5,4.5,0
flow_20.3,32.5,4.0,0
flow_00.3,33.5,4.0,0
flow_20.4,26.0,3.5,0
flow_30.3,43.0,4.5,0
flow_10.3,53.5,4.5,0
flow_30.4,41.0,4.0,0
flow_10.4,51.5,4.0,0
flow_30.5,33.0,4.0,0
flow_10.5,44.0,4.0,0
flow_00.4,40.0,4.0,0
flow_20.5,37.0,4.0,0
flow_20.6,32.5,4.0,0
flow_20.7,23.5,3.0,0
flow_30.6,39.0,4.5,0
flow_10.6,61.0,4.5,0
flow_10.7,60.0,4.0,0
flow_30.7,38.5,4.0,0
flow_10.8,42.0,4.0,0
flow_30.8,24.5,3.0,0
flow_20.8,37.0,4.0,0
flow_00.5,31.5,4.0,0
flow_00.6,25.5,3.5,0
flow_30.9,41.5,4.5,0
flow_10.9,25.5,3.5,0
flow_00.7,40.0,4.0,0
flow_20.9,40.0,4.5,0
flow_00.8,40.5,4.0,0
flow_20.10,39.0,4.0,0
flow_20.11,38.0,4.0,0
flow_00.9,40.0,4.0,0
flow_10.10,41.0,4.5,0
flow_30.10,29.0,4.0,0
flow_20.12,45.0,4.5,0
flow_00.10,57.0,4.5,0
flow_00.11,56.0,4.0,0
flow_20.13,40.0,4.0,0
flow_20.14,38.0,4.0,0
flow_00.12,41.5,4.5,0
flow_30.11,42.0,4.0,0
flow_30.12,41.5,3.5,0
flow_30.13,40.0,3.5,0
flow_20.15,54.0,4.0,0
flow_00.13,46.5,4.5,0
flow_00.14,46.5,4.0,0
flow_20.16,44.5,4.0,0
flow_00.15,27.5,3.5,0
flow_20.17,40.5,5.0,0
flow_10.11,34.0,4.5,0
flow_30.14,56.5,4.5,0
flow_30.15,30.0,4.0,0
flow_10.12,24.5,3.0,0
flow_20.18,50.5,4.0,0
flow_00.16,26.0,3.5,0
flow_20.19,48.5,4.0,0
flow_00.17,25.5,3.5,0
flow_20.20,32.5,4.0,0
flow_30.16,43.5,4.5,0
