vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_10.0,24.5,3.0,0
flow_20.0,34.0,4.5,0
flow_00.0,37.0,4.5,0
flow_00.1,36.5,4.0,0
flow_00.2,35.0,4.0,0
flow_30.0,23.5,3.0,0
flow_10.1,32.0,4.5,0
flow_10.2,28.0,3.5,0
flow_10.3,26.5,4.0,0
flow_10.4,25.5,3.0,0
flow_00.3,51.0,4.0,0
flow_00.4,45.5,4.0,0
flow_00.5,37.0,4.0,0
flow_10.5,41.0,4.5,0
flow_30.1,40.5,4.5,0
flow_10.6,40.0,4.0,0
flow_30.2,39.0,4.0,0
flow_10.7,38.5,3.5,0
flow_30.3,40.0,4.5,0
flow_20.1,42.5,4.5,0
flow_00.6,54.5,4.5,0
flow_00.7,53.5,4.0,0
flow_00.8,41.5,4.0,0
flow_10.8,57.0,4.5,0
flow_10.9,55.5,4.0,0
flow_30.4,25.5,3.5,0
flow_10.10,49.5,3.5,0
flow_00.9,47.0,4.5,0
flow_20.2,42.0,4.5,0
flow_20.3,26.0,3.5,0
flow_00.10,37.5,4.0,0
flow_00.11,37.0,4.0,0
flow_30.5,33.0,4.5,0
flow_10.11,69.0,4.5,0
flow_10.12,67.5,4.0,0
flow_10.13,60.5,4.0,0
flow_00.12,53.0,4.5,0
flow_00.13,51.5,4.0,0
flow_00.14,35.0,4.0,0
flow_10.14,76.0,4.5,0
flow_10.15,68.5,4.0,0
flow_10.16,67.5,4.5,0
flow_00.15,52.0,4.5,0
flow_20.4,24.0,3.0,0
flow_00.16,52.5,4.0,0
flow_00.17,51.0,4.0,0
flow_20.5,24.5,3.0,0
flow_30.6,30.0,4.0,0
flow_10.17,78.0,4.5,0
flow_30.7,26.0,3.0,0
flow_10.18,75.5,4.0,0
flow_10.19,64.5,4.0,0
flow_00.18,67.5,4.0,0
flow_00.19,68.5,4.5,0
flow_00.20,67.0,4.5,0
flow_10.20,77.0,4.0,0
flow_10.21,76.0,3.5,0
flow_10.22,75.5,4.0,0
flow_20.6,34.0,4.5,0
flow_00.21,83.5,4.5,0
flow_00.22,83.5,4.0,0
flow_00.23,70.5,4.0,0
flow_10.23,93.0,4.5,0
flow_30.8,46.0,4.5,0
flow_10.24,91.5,3.5,0
flow_10.25,91.0,4.0,0
flow_30.9,23.5,3.0,0
flow_00.24,87.5,4.5,0
flow_00.25,87.0,4.0,0
flow_00.26,87.0,4.0,0
flow_10.26,105.5,4.0,0
flow_10.27,86.5,4.0,0
flow_10.28,84.0,4.0,0
