vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_10.0,21.0,1.5,0
flow_30.0,21.0,1.5,0
flow_20.0,34.5,4.0,0
flow_20.1,22.0,2.0,0
flow_10.1,28.0,3.5,0
flow_00.0,32.5,4.0,0
flow_10.2,40.0,4.0,0
flow_30.1,35.5,4.0,0
flow_30.2,34.5,3.0,0
flow_30.3,34.5,3.0,0
flow_00.1,37.5,4.0,0
flow_10.3,20.5,1.5,0
flow_00.2,30.5,4.0,0
flow_20.2,37.0,4.0,0
flow_20.3,22.5,2.0,0
flow_30.4,33.5,4.0,0
flow_20.4,24.5,3.0,0
flow_00.3,40.0,4.0,0
flow_10.4,31.0,4.0,0
flow_10.5,22.5,2.0,0
flow_20.5,21.5,2.0,0
flow_00.4,22.5,2.0,0
flow_10.6,40.5,4.0,0
flow_30.5,31.0,3.5,0
flow_10.7,31.5,3.5,0
flow_00.5,38.5,4.0,0
flow_00.6,23.0,2.0,0
flow_00.7,21.5,2.0,0
flow_30.6,32.5,4.0,0
flow_20.6,27.5,3.5,0
flow_00.8,40.0,4.0,0
flow_00.9,39.0,3.0,0
flow_00.10,38.0,3.0,0
flow_00.11,55.0,4.0,0
flow_00.12,54.5,3.0,0
flow_00.13,53.5,3.0,0
flow_10.8,36.0,4.0,0
flow_00.14,70.0,4.0,0
flow_00.15,59.0,3.0,0
flow_00.16,22.5,2.0,0
flow_10.9,33.5,4.0,0
flow_30.7,30.0,3.5,0
flow_10.10,31.5,3.5,0
flow_10.11,30.5,3.0,0
flow_10.12,22.0,2.0,0
flow_30.8,40.5,4.0,0
flow_30.9,33.5,3.0,0
flow_20.7,22.0,2.0,0
flow_10.13,35.0,4.0,0
flow_30.10,21.5,2.0,0
flow_10.14,34.5,3.0,0
flow_30.11,21.0,2.0,0
flow_00.17,36.0,4.0,0
flow_20.8,31.5,4.0,0
flow_20.9,30.0,3.5,0
flow_00.18,24.5,2.5,0
flow_10.15,31.0,4.0,0
flow_30.12,20.5,1.5,0
flow_20.10,40.0,4.0,0
flow_30.13,38.5,4.0,0
flow_30.14,32.0,3.0,0
flow_00.19,21.5,2.0,0
flow_10.16,41.5,4.0,0
flow_30.15,41.5,4.0,0
flow_30.16,30.0,3.0,0
flow_10.17,23.0,2.0,0
flow_00.20,39.0,4.0,0
flow_00.21,21.5,2.0,0
flow_20.11,23.0,2.0,0
flow_30.17,22.0,2.0,0
flow_20.12,29.5,3.5,0
flow_30.18,41.0,4.0,0
flow_10.18,22.0,2.0,0
flow_10.19,23.5,2.5,0
flow_30.19,36.0,4.0,0
flow_30.20,33.5,3.0,0
flow_20.13,35.5,4.0,0
flow_00.22,31.0,3.5,0
flow_10.20,22.0,2.0,0
flow_30.21,20.0,1.5,0
flow_20.14,39.5,4.0,0
flow_10.21,27.5,3.5,0
flow_00.23,25.5,3.0,0
flow_30.22,37.5,4.0,0
flow_10.22,34.5,4.0,0
flow_30.23,37.5,3.0,0
flow_00.24,34.5,4.0,0
flow_20.15,31.5,3.5,0
flow_00.25,33.5,3.0,0
flow_10.23,21.0,1.5,0
flow_00.26,23.5,2.0,0
flow_20.16,35.5,4.0,0
flow_20.17,23.5,2.5,0
flow_10.24,21.5,2.0,0
flow_00.27,38.0,4.0,0
flow_20.18,41.0,4.0,0
flow_20.19,25.5,2.5,0
flow_00.28,21.0,2.0,0
flow_30.24,39.0,4.0,0
flow_10.25,20.5,1.5,0
flow_00.29,28.0,3.5,0
flow_20.20,26.0,2.5,0
