vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_30.0,22.0,2.0,0
flow_30.1,21.0,2.0,0
flow_10.0,21.5,2.0,0
flow_20.0,22.0,2.0,0
flow_00.0,33.0,4.0,0
flow_00.1,28.5,3.0,0
flow_00.2,23.5,2.5,0
flow_20.1,22.5,2.0,0
flow_10.1,20.0,1.5,0
flow_30.2,32.0,3.5,0
flow_30.3,28.0,3.0,0
flow_30.4,23.5,2.0,0
flow_00.3,22.5,2.0,0
flow_10.2,38.5,4.0,0
flow_30.5,42.0,4.0,0
flow_10.3,37.5,3.0,0
flow_30.6,41.5,3.0,0
flow_10.4,37.0,3.0,0
flow_30.7,40.5,3.0,0
flow_20.2,25.0,3.0,0
flow_00.4,41.0,4.0,0
flow_20.3,23.5,2.5,0
flow_00.5,26.5,2.5,0
flow_20.4,23.0,2.0,0
flow_00.6,21.0,2.0,0
flow_30.8,51.0,4.0,0
flow_10.5,54.5,4.0,0
flow_30.9,37.0,3.0,0
flow_10.6,35.5,3.0,0
flow_30.10,30.0,3.0,0
flow_00.7,31.5,3.5,0
flow_20.5,43.5,4.0,0
flow_00.8,30.5,3.0,0
flow_20.6,36.0,3.5,0
flow_00.9,23.5,2.0,0
flow_10.7,40.5,4.0,0
flow_30.11,21.0,1.5,0
flow_20.7,30.5,3.5,0
flow_00.10,42.0,4.0,0
flow_20.8,30.0,3.0,0
flow_20.9,29.0,3.0,0
flow_20.10,27.5,3.0,0
flow_10.8,39.5,4.0,0
flow_30.12,37.0,4.0,0
flow_30.13,24.5,2.5,0
flow_10.9,36.0,3.0,0
flow_30.14,22.0,2.0,0
flow_10.10,25.5,2.5,0
flow_00.11,40.0,4.0,0
flow_20.11,43.0,4.0,0
flow_20.12,41.5,3.0,0
flow_20.13,28.0,2.5,0
flow_30.15,25.5,3.0,0
flow_10.11,40.0,4.0,0
flow_30.16,23.0,2.0,0
flow_10.12,32.5,3.5,0
flow_20.14,28.0,3.5,0
flow_20.15,27.5,3.0,0
flow_30.17,41.0,4.0,0
flow_10.13,30.0,3.5,0
flow_10.14,29.0,3.5,0
flow_30.18,40.5,3.0,0
flow_10.15,27.5,3.0,0
flow_30.19,40.0,3.0,0
flow_20.16,35.5,4.0,0
flow_00.12,36.5,4.0,0
flow_20.17,30.5,3.0,0
