vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_30.0,22.0,2.0,0
flow_00.0,35.5,4.0,0
flow_00.1,36.0,3.0,0
flow_00.2,32.0,3.0,0
flow_30.1,37.5,4.0,0
flow_10.0,29.0,3.5,0
flow_30.2,36.5,3.0,0
flow_10.1,22.0,2.0,0
flow_30.3,30.5,3.0,0
flow_20.0,29.5,3.5,0
flow_00.3,29.0,3.5,0
flow_20.1,28.5,3.5,0
flow_00.4,27.0,3.0,0
flow_20.2,27.5,2.5,0
flow_20.3,25.5,2.5,0
flow_30.4,22.0,2.0,0
flow_10.2,35.5,4.0,0
flow_30.5,22.0,2.0,0
flow_00.5,20.5,2.0,0
flow_20.4,21.0,2.0,0
flow_30.6,41.0,4.0,0
flow_10.3,27.0,3.5,0
flow_10.4,26.0,2.5,0
flow_30.7,21.5,2.0,0
flow_20.5,20.5,1.5,0
flow_10.5,21.0,1.5,0
flow_00.6,40.5,4.0,0
flow_20.6,33.0,4.0,0
flow_00.7,40.5,3.0,0
flow_20.7,31.0,3.5,0
flow_00.8,27.5,2.5,0
flow_30.8,31.0,4.0,0
flow_30.9,30.0,3.0,0
flow_20.8,39.5,4.0,0
flow_00.9,44.0,4.0,0
flow_20.9,39.0,3.0,0
flow_00.10,44.0,3.5,0
flow_20.10,26.0,2.5,0
flow_00.11,42.5,3.0,0
flow_30.10,32.0,4.0,0
flow_30.11,31.0,3.5,0
flow_30.12,29.5,3.0,0
flow_00.12,59.5,4.0,0
flow_20.11,38.0,4.0,0
flow_20.12,35.0,3.0,0
flow_00.13,59.0,3.0,0
flow_20.13,34.0,3.0,0
flow_30.13,21.0,1.5,0
flow_00.14,21.0,1.5,0
flow_00.15,21.5,2.0,0
flow_30.14,40.0,4.0,0
flow_10.6,30.0,3.5,0
flow_00.16,37.0,4.0,0
flow_00.17,21.5,2.0,0
flow_20.14,21.0,1.5,0
flow_30.15,21.0,1.5,0
flow_20.15,31.0,4.0,0
flow_00.18,26.5,3.0,0
flow_10.7,27.0,3.5,0
flow_30.16,38.5,4.0,0
flow_30.17,27.5,3.0,0
flow_20.16,26.5,3.5,0
flow_00.19,21.0,1.5,0
flow_30.18,34.5,4.0,0
flow_30.19,20.5,2.0,0
flow_00.20,41.0,4.0,0
flow_20.17,42.0,4.0,0
flow_20.18,23.5,2.0,0
flow_00.21,35.0,3.0,0
flow_00.22,34.5,3.0,0
flow_10.8,30.5,4.0,0
flow_30.20,21.0,1.5,0
flow_10.9,26.5,2.5,0
flow_00.23,48.0,4.0,0
flow_00.24,47.5,3.0,0
flow_20.19,22.0,2.0,0
flow_00.25,44.0,3.0,0
flow_10.10,35.0,4.0,0
flow_10.11,34.0,3.0,0
flow_20.20,41.5,4.0,0
flow_00.26,60.5,4.0,0
flow_00.27,60.0,3.0,0
flow_20.21,36.5,3.5,0
flow_00.28,58.5,3.0,0
flow_20.22,33.5,3.0,0
flow_30.21,37.0,4.0,0
flow_30.22,30.0,3.0,0
flow_00.29,30.0,3.5,0
flow_20.23,27.0,3.5,0
flow_20.24,22.5,2.0,0
flow_30.23,29.0,3.5,0
flow_00.30,41.5,4.0,0
flow_20.25,40.0,4.0,0
flow_00.31,41.0,3.0,0
flow_20.26,21.0,2.0,0
flow_10.12,36.5,4.0,0
flow_30.24,23.5,2.5,0
flow_00.32,23.0,2.5,0
flow_20.27,30.5,3.5,0
flow_20.28,30.0,3.0,0
flow_20.29,28.5,3.0,0
flow_10.13,22.0,2.0,0
flow_30.25,29.5,3.5,0
flow_10.14,23.0,2.0,0
flow_00.33,39.5,4.0,0
flow_20.30,39.0,4.0,0
flow_20.31,36.5,3.0,0
flow_10.15,28.5,3.5,0
flow_30.26,20.5,1.5,0
flow_10.16,21.0,2.0,0
flow_20.32,31.5,4.0,0
flow_00.34,31.0,3.5,0
flow_20.33,23.5,2.0,0
flow_20.34,22.0,2.0,0
flow_30.27,29.0,3.5,0
flow_30.28,27.0,3.0,0
flow_20.35,26.5,3.5,0
flow_00.35,21.0,1.5,0
flow_10.17,22.0,2.0,0
flow_00.36,33.0,4.0,0
flow_00.37,33.0,3.0,0
flow_00.38,22.0,2.0,0
flow_30.29,27.5,3.5,0
flow_10.18,40.0,4.0,0
flow_10.19,37.0,3.0,0
flow_20.36,41.0,4.0,0
flow_20.37,29.5,3.0,0
flow_20.38,28.5,3.0,0
flow_30.30,40.5,4.0,0
flow_20.39,39.5,4.0,0
flow_00.39,38.5,4.0,0
flow_00.40,30.0,3.0,0
flow_20.40,36.5,3.0,0
flow_00.41,27.0,2.5,0
flow_20.41,35.0,3.0,0
flow_30.31,39.0,4.0,0
flow_30.32,38.5,3.0,0
flow_30.33,38.0,3.0,0
flow_20.42,44.5,4.0,0
flow_00.42,41.5,4.0,0
flow_20.43,26.5,2.5,0
flow_00.43,37.0,3.0,0
flow_30.34,56.0,4.0,0
flow_00.44,41.0,4.0,0
flow_20.44,42.0,4.0,0
flow_00.45,28.5,3.0,0
flow_20.45,42.0,3.5,0
flow_00.46,27.5,3.0,0
flow_20.46,33.5,3.0,0
flow_00.47,30.5,3.5,0
flow_20.47,41.5,4.0,0
flow_00.48,27.5,3.0,0
flow_20.48,33.0,3.0,0
flow_00.49,20.0,1.5,0
flow_20.49,31.5,3.0,0
flow_30.35,21.0,2.0,0
flow_00.50,37.5,4.0,0
flow_20.50,49.0,4.0,0
flow_20.51,41.5,3.0,0
flow_00.51,38.0,3.0,0
flow_20.52,41.0,3.0,0
flow_00.52,38.0,3.0,0
flow_30.36,33.0,4.0,0
flow_10.20,39.0,4.0,0
flow_10.21,38.5,3.0,0
flow_10.22,37.5,3.0,0
flow_20.53,48.0,4.0,0
flow_00.53,54.0,4.0,0
flow_00.54,39.5,3.0,0
flow_00.55,38.5,3.0,0
flow_10.23,51.0,4.0,0
flow_10.24,35.0,3.0,0
flow_00.56,56.0,4.0,0
flow_20.54,29.5,3.5,0
flow_00.57,55.5,3.0,0
flow_20.55,29.5,3.0,0
flow_00.58,47.5,3.0,0
flow_30.37,38.0,4.0,0
flow_00.59,65.0,4.0,0
flow_20.56,33.0,4.0,0
flow_00.60,64.0,3.0,0
flow_00.61,63.5,3.0,0
flow_20.57,37.0,4.0,0
flow_00.62,75.0,4.0,0
flow_20.58,27.0,2.5,0
flow_00.63,74.5,3.0,0
flow_00.64,73.0,3.0,0
flow_30.38,20.5,1.5,0
flow_20.59,25.0,3.0,0
flow_00.65,90.5,4.0,0
flow_20.60,23.5,2.5,0
flow_00.66,90.0,3.0,0
flow_00.67,88.5,3.0,0
flow_10.25,20.5,1.5,0
flow_10.26,20.5,1.5,0
flow_00.68,105.0,4.0,0
flow_20.61,31.0,3.5,0
flow_00.69,85.0,3.0,0
flow_20.62,24.0,2.5,0
flow_00.70,77.5,3.0,0
flow_20.63,21.5,2.0,0
flow_10.27,20.5,1.5,0
flow_00.71,82.0,4.0,0
flow_20.64,38.5,4.0,0
flow_00.72,79.5,3.0,0
flow_20.65,37.5,3.0,0
flow_20.66,25.5,2.5,0
flow_00.73,75.0,3.0,0
flow_10.28,36.0,4.0,0
flow_30.39,32.0,3.5,0
flow_10.29,34.5,3.0,0
flow_00.74,91.0,4.0,0
flow_20.67,43.0,4.0,0
flow_00.75,87.0,3.0,0
flow_20.68,33.0,3.0,0
flow_00.76,76.5,3.0,0
flow_20.69,22.0,2.0,0
flow_30.40,21.5,2.0,0
flow_10.30,35.0,4.0,0
flow_00.77,93.5,4.0,0
flow_20.70,40.5,4.0,0
flow_00.78,89.0,3.0,0
flow_20.71,39.5,3.0,0
flow_00.79,88.0,3.0,0
flow_20.72,31.5,3.0,0
flow_30.41,20.0,1.5,0
flow_20.73,31.0,4.0,0
flow_00.80,103.5,4.0,0
flow_20.74,30.0,3.0,0
flow_00.81,97.0,3.0,0
flow_00.82,91.0,3.0,0
flow_30.42,28.0,3.5,0
flow_30.43,27.5,3.0,0
flow_30.44,22.5,2.5,0
flow_20.75,41.5,4.0,0
flow_00.83,108.5,4.0,0
flow_20.76,40.0,3.0,0
flow_00.84,105.0,3.0,0
flow_00.85,100.5,3.0,0
flow_30.45,39.5,4.0,0
flow_00.86,107.5,4.0,0
flow_20.77,39.0,4.0,0
flow_00.87,106.0,3.0,0
flow_20.78,22.0,2.0,0
flow_00.88,102.5,3.0,0
flow_30.46,33.5,4.0,0
flow_10.31,21.0,1.5,0
flow_00.89,107.0,4.0,0
flow_20.79,39.0,4.0,0
flow_00.90,84.5,3.0,0
flow_00.91,77.0,3.0,0
flow_20.80,21.0,1.5,0
flow_10.32,40.0,4.0,0
flow_30.47,31.5,3.5,0
flow_10.33,37.0,3.5,0
flow_20.81,37.5,4.0,0
flow_00.92,63.5,4.0,0
flow_20.82,27.5,3.0,0
flow_00.93,56.5,3.0,0
flow_00.94,55.5,3.0,0
flow_20.83,26.0,3.0,0
flow_20.84,24.5,2.5,0
flow_00.95,73.0,4.0,0
flow_20.85,38.0,4.0,0
flow_00.96,72.5,3.0,0
flow_20.86,37.0,3.0,0
flow_00.97,44.0,3.0,0
flow_20.87,36.5,3.0,0
flow_10.0,21.5,1.5,0
flow_00.0,38.5,4.0,0
flow_00.1,29.5,3.0,0
flow_00.2,24.5,2.5,0
flow_30.0,39.0,4.0,0
flow_10.1,21.0,1.5,0
flow_30.1,29.5,3.0,0
flow_10.2,20.5,2.0,0
flow_20.0,40.0,4.0,0
flow_00.3,21.0,1.5,0
flow_20.1,39.5,3.0,0
flow_20.2,38.5,3.0,0
flow_10.3,25.0,3.0,0
flow_30.2,21.0,1.5,0
flow_00.4,38.0,4.0,0
flow_20.3,57.5,4.0,0
flow_00.5,29.0,3.0,0
flow_20.4,36.0,3.0,0
flow_20.5,35.0,3.0,0
flow_10.4,29.0,3.5,0
flow_30.3,34.0,4.0,0
flow_30.4,23.0,2.5,0
flow_20.6,52.0,4.0,0
flow_20.7,51.5,3.0,0
flow_20.8,24.5,2.5,0
flow_30.5,36.5,4.0,0
flow_10.5,22.0,2.0,0
flow_10.6,21.0,2.0,0
flow_00.6,23.5,2.5,0
flow_20.9,41.0,4.0,0
flow_00.7,21.5,2.0,0
flow_20.10,41.0,3.0,0
flow_20.11,35.0,3.0,0
flow_30.6,31.0,3.5,0
flow_30.7,30.0,3.0,0
flow_20.12,47.0,4.0,0
flow_20.13,26.0,2.5,0
flow_20.14,23.0,2.5,0
flow_10.7,31.5,4.0,0
flow_30.8,32.0,3.5,0
