vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_30.0,21.0,1.5,0
flow_301.0,38.5,3.5,0
flow_101.0,39.0,3.5,0
flow_1012.0,37.0,4.0,0
flow_10.0,23.5,2.5,0
flow_001.0,32.5,3.5,0
flow_201.0,39.0,3.5,0
flow_201.1,29.5,3.0,0
flow_1012.1,42.0,4.0,0
flow_3012.0,43.5,4.5,0
flow_10.1,25.0,2.5,0
flow_101.1,25.5,2.5,0
flow_301.1,26.0,2.5,0
flow_201.2,34.5,3.5,0
flow_00.0,30.0,3.5,0
flow_20.0,27.0,3.5,0
flow_0012.0,46.0,6.5,0
flow_001.1,29.0,3.0,0
flow_30.1,23.5,2.5,0
flow_001.2,45.0,3.5,0
flow_2012.0,34.5,5.5,0
flow_201.3,31.5,3.0,0
flow_001.3,46.0,4.0,0
flow_301.2,45.0,3.5,0
flow_101.2,33.0,3.5,0
flow_301.3,39.5,3.0,0
flow_101.3,24.5,2.0,0
flow_301.4,36.0,3.5,0
flow_20.1,36.0,4.0,0
flow_001.4,61.0,3.5,0
flow_001.5,58.0,3.0,0
flow_201.4,26.0,2.5,0
flow_0012.1,46.5,4.0,0
flow_2012.1,25.5,3.0,0
flow_301.5,49.5,3.5,0
flow_30.2,47.0,3.0,0
flow_30.3,47.0,3.0,0
flow_2012.2,42.0,4.5,0
flow_001.6,61.0,7.5,0
flow_001.7,60.0,3.0,0
flow_3012.1,65.5,4.5,0
flow_10.2,43.0,6.5,0
flow_301.6,64.5,3.0,0
flow_101.4,41.0,3.0,0
flow_3012.2,64.0,4.0,0
flow_1012.2,40.0,3.5,0
flow_201.5,39.5,3.5,0
flow_001.8,71.0,3.5,0
flow_00.1,68.5,3.0,0
flow_00.2,67.0,3.0,0
flow_10.3,54.5,4.0,0
flow_30.4,79.5,4.0,0
flow_101.5,54.5,2.5,0
flow_3012.3,83.0,5.0,0
flow_301.7,80.0,2.5,0
flow_001.9,82.0,3.5,0
flow_201.6,41.5,3.5,0
flow_20.2,27.0,2.5,0
flow_00.3,78.0,3.0,0
flow_001.10,69.0,2.5,0
flow_30.5,91.0,4.0,0
flow_101.6,76.0,3.5,0
flow_301.8,92.0,3.0,0
flow_10.4,75.0,3.0,0
flow_10.5,73.5,3.0,0
flow_301.9,85.0,3.0,0
flow_00.4,86.5,4.0,0
flow_201.7,44.0,3.5,0
flow_201.8,27.0,3.0,0
flow_0012.2,89.5,6.0,0
flow_20.3,24.5,2.5,0
flow_001.11,86.0,2.5,0
flow_3012.4,104.0,5.0,0
flow_301.10,101.5,3.0,0
flow_101.7,96.0,7.5,0
flow_301.11,99.5,3.0,0
flow_101.8,95.0,3.0,0
flow_2012.3,43.0,4.5,0
flow_001.12,86.5,7.5,0
flow_201.9,34.5,3.0,0
flow_20.4,31.0,2.5,0
flow_00.5,84.5,3.5,0
flow_101.9,110.5,3.5,0
flow_301.12,108.0,3.5,0
flow_1012.3,111.0,4.0,0
flow_10.6,108.0,3.0,0
flow_301.13,97.0,7.0,0
flow_201.10,49.0,3.5,0
flow_0012.3,93.5,6.5,0
flow_20.5,49.5,3.5,0
flow_001.13,89.0,3.0,0
flow_00.6,75.0,3.0,0
flow_201.11,30.0,3.0,0
flow_10.7,125.0,4.0,0
flow_301.14,113.0,3.5,0
flow_10.8,117.0,3.0,0
flow_3012.5,115.0,6.0,0
flow_001.14,92.5,3.5,0
flow_201.12,45.0,3.5,0
flow_20.6,43.0,3.0,0
flow_001.15,80.0,3.0,0
flow_00.7,72.5,3.0,0
flow_201.13,44.0,3.0,0
flow_3012.6,129.0,5.0,0
