vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_20.0,33.5,4.0,0
flow_0012.0,41.0,7.5,0
flow_20.1,35.5,5.0,0
flow_2012.0,32.5,4.0,0
flow_10.0,34.0,3.5,0
flow_30.0,21.5,2.0,0
flow_0012.1,42.0,4.5,0
flow_001.0,34.0,3.0,0
flow_00.0,25.0,3.0,0
flow_2012.1,27.0,5.5,0
flow_10.1,36.5,4.0,0
flow_301.0,37.0,3.5,0
flow_101.0,29.5,2.5,0
flow_3012.0,25.5,3.5,0
flow_30.1,23.0,2.5,0
flow_201.0,30.5,3.5,0
flow_0012.2,49.0,7.0,0
flow_0012.3,47.0,4.5,0
flow_201.1,34.5,4.0,0
flow_10.2,21.0,1.5,0
flow_301.1,34.5,3.5,0
flow_30.2,26.0,3.0,0
flow_301.2,37.5,4.0,0
flow_2012.2,25.5,3.5,0
flow_30.3,30.5,4.0,0
flow_101.1,42.5,3.5,0
flow_3012.1,33.0,4.5,0
flow_0012.4,38.0,4.5,0
flow_20.2,38.5,7.0,0
flow_301.3,37.0,3.5,0
flow_101.2,43.5,3.0,0
flow_30.4,37.5,3.5,0
flow_1012.0,48.0,7.0,0
flow_1012.1,37.5,4.5,0
flow_201.2,32.0,3.5,0
flow_201.3,31.0,3.0,0
flow_20.3,22.0,2.0,0
flow_10.3,21.5,2.0,0
flow_30.5,56.0,4.0,0
flow_3012.2,45.5,3.5,0
flow_301.4,44.0,3.0,0
flow_20.4,22.0,2.0,0
flow_001.1,24.5,2.5,0
flow_3012.3,59.0,4.5,0
flow_30.6,42.5,3.0,0
flow_101.3,45.0,7.5,0
flow_10.4,41.5,3.5,0
flow_0012.5,42.0,4.0,0
flow_2012.3,40.0,4.5,0
flow_20.5,36.0,3.0,0
flow_001.2,34.0,3.0,0
flow_0012.6,33.5,3.5,0
flow_101.4,61.0,3.5,0
flow_3012.4,30.0,6.5,0
flow_101.5,62.5,4.0,0
flow_0012.7,42.5,4.5,0
flow_20.6,45.5,6.5,0
flow_001.3,31.0,3.0,0
flow_20.7,36.0,4.0,0
flow_2012.4,33.0,3.5,0
flow_3012.5,40.5,4.0,0
flow_30.7,39.0,3.0,0
flow_101.6,81.0,7.0,0
flow_1012.2,56.0,3.5,0
flow_20.8,38.5,4.0,0
flow_20.9,30.0,3.0,0
flow_20.10,29.5,3.0,0
flow_3012.6,32.5,4.5,0
flow_101.7,70.0,4.0,0
flow_10.5,33.5,3.0,0
flow_00.1,24.0,2.5,0
flow_20.11,34.5,4.0,0
flow_2012.5,27.5,3.0,0
flow_0012.8,23.5,3.0,0
flow_20.12,22.0,2.0,0
flow_3012.7,39.5,4.5,0
flow_301.5,37.5,2.5,0
flow_101.8,27.5,2.5,0
flow_3012.8,34.5,4.0,0
flow_2012.6,40.5,4.0,0
flow_0012.9,41.5,4.5,0
flow_00.2,27.0,3.0,0
flow_201.4,31.5,3.5,0
flow_20.13,28.5,3.0,0
flow_1012.3,42.0,4.5,0
flow_3012.9,52.0,4.5,0
flow_30.8,49.5,3.0,0
flow_10.6,37.0,3.0,0
flow_10.7,35.5,3.0,0
flow_3012.10,51.0,5.5,0
flow_001.4,36.5,3.5,0
flow_0012.10,29.5,3.5,0
flow_0012.11,29.0,4.0,0
flow_00.3,27.0,3.0,0
flow_2012.7,27.5,6.0,0
flow_10.8,55.0,4.0,0
flow_10.9,51.0,3.5,0
flow_3012.11,66.0,6.0,0
flow_00.4,35.0,3.5,0
flow_201.5,40.5,3.5,0
flow_20.14,24.0,2.5,0
flow_00.5,35.0,3.0,0
flow_0012.12,34.0,3.0,0
flow_30.9,78.5,4.0,0
flow_1012.4,34.0,6.0,0
flow_30.10,80.5,5.0,0
flow_301.6,80.0,3.0,0
flow_001.5,52.5,3.5,0
flow_20.15,41.0,4.0,0
flow_20.16,34.5,3.0,0
flow_0012.13,55.0,5.5,0
flow_20.17,37.0,5.5,0
flow_1012.5,32.5,4.0,0
flow_101.9,31.5,2.5,0
flow_301.7,96.5,7.0,0
flow_30.11,49.5,3.5,0
flow_20.18,51.5,4.0,0
flow_0012.14,75.5,7.5,0
flow_00.6,33.5,3.5,0
flow_201.6,56.0,3.0,0
flow_1012.6,45.0,4.0,0
flow_10.10,42.5,3.0,0
flow_301.8,71.5,7.0,0
flow_30.12,68.0,3.5,0
flow_2012.8,73.0,4.5,0
flow_0012.15,54.0,4.5,0
flow_00.7,51.0,3.0,0
flow_201.7,72.0,3.0,0
flow_20.19,69.0,3.0,0
flow_001.6,51.5,3.0,0
flow_1012.7,42.0,4.5,0
flow_3012.12,87.0,4.5,0
flow_3012.13,86.0,4.0,0
flow_301.9,84.5,3.0,0
flow_101.10,45.0,4.0,0
flow_2012.9,88.0,4.5,0
flow_001.7,68.5,7.0,0
flow_201.8,88.5,3.5,0
flow_00.8,64.0,3.5,0
flow_201.9,80.0,3.5,0
flow_3012.14,74.0,4.5,0
flow_30.13,69.0,3.0,0
flow_101.11,57.0,7.5,0
flow_3012.15,70.0,4.0,0
flow_101.12,34.0,6.5,0
flow_2012.10,88.5,4.5,0
flow_20.20,72.0,3.0,0
flow_001.8,81.0,7.5,0
flow_2012.11,73.5,4.0,0
flow_3012.16,85.0,4.0,0
flow_1012.8,28.5,4.0,0
flow_30.14,53.5,3.0,0
flow_3012.17,43.5,3.5,0
flow_001.9,100.5,4.0,0
flow_2012.12,85.5,5.5,0
flow_2012.13,71.0,4.5,0
flow_20.21,51.0,2.5,0
flow_00.9,103.5,5.5,0
flow_30.15,53.0,4.0,0
flow_10.11,38.0,4.0,0
