vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,25.5,3.5,0
flow_30.0,35.5,4.5,0
flow_30.1,35.5,4.0,0
flow_30.2,35.5,4.0,0
flow_30.3,34.0,4.5,0
flow_30.4,32.5,4.0,0
flow_30.5,30.5,4.5,0
flow_30.6,29.5,4.0,0
flow_20.0,29.0,4.0,0
flow_00.1,41.5,4.0,0
flow_20.1,27.0,3.5,0
flow_00.2,40.5,4.0,0
flow_00.3,30.0,4.0,0
flow_00.4,26.5,3.5,0
flow_30.7,54.5,4.0,0
flow_10.0,53.0,4.5,0
flow_10.1,39.5,4.0,0
flow_30.8,55.5,4.0,0
flow_10.2,24.5,3.0,0
flow_00.5,50.0,4.0,0
flow_20.2,26.0,4.0,0
flow_00.6,25.5,3.5,0
flow_30.9,40.0,4.5,0
flow_30.10,40.0,4.0,0
flow_30.11,26.0,3.5,0
flow_30.12,25.0,3.5,0
flow_30.13,24.5,3.0,0
flow_30.14,23.5,2.5,0
flow_00.7,42.5,4.5,0
flow_00.8,42.0,4.0,0
flow_20.3,25.5,3.5,0
flow_00.9,23.0,2.5,0
flow_00.10,25.5,3.0,0
flow_10.3,24.5,3.0,0
flow_30.15,50.5,4.5,0
flow_10.4,25.5,3.0,0
flow_30.16,50.5,4.5,0
flow_30.17,49.0,4.5,0
flow_30.18,47.5,4.0,0
flow_10.5,28.0,4.0,0
flow_30.19,46.0,4.0,0
flow_30.20,45.0,4.0,0
flow_30.21,26.5,4.0,0
flow_00.11,46.0,4.5,0
flow_20.4,24.0,2.5,0
flow_00.12,42.5,4.0,0
flow_00.13,29.5,4.0,0
flow_30.22,47.0,4.0,0
flow_30.23,41.5,4.0,0
flow_30.24,38.0,4.0,0
flow_30.25,27.5,4.0,0
flow_00.14,51.5,4.0,0
flow_00.15,52.5,4.0,0
flow_00.16,51.5,4.0,0
flow_00.17,50.5,4.0,0
flow_30.26,40.5,5.5,0
flow_30.27,32.0,5.0,0
flow_30.28,28.5,4.0,0
flow_30.29,26.5,4.0,0
flow_00.18,39.5,4.5,0
flow_20.5,30.0,4.0,0
flow_00.19,36.5,3.5,0
flow_00.20,26.5,3.5,0
flow_00.21,27.0,4.0,0
flow_00.22,28.0,4.0,0
flow_30.30,56.0,4.5,0
flow_10.6,38.0,4.5,0
flow_30.31,42.5,4.0,0
flow_30.32,39.5,4.0,0
flow_30.33,25.5,3.0,0
flow_30.34,26.0,3.5,0
flow_00.23,52.5,4.5,0
flow_20.6,54.0,4.5,0
flow_00.24,48.5,3.5,0
flow_20.7,53.5,4.0,0
flow_00.25,31.0,3.5,0
flow_00.26,24.5,3.0,0
flow_20.8,23.5,3.0,0
flow_10.7,37.5,4.5,0
flow_30.35,54.5,4.5,0
flow_30.36,54.0,4.0,0
flow_30.37,39.0,4.0,0
flow_30.38,38.0,4.0,0
flow_30.39,37.5,4.5,0
flow_30.40,36.5,4.5,0
flow_10.8,26.0,3.5,0
flow_30.41,35.5,4.5,0
flow_00.27,42.5,4.0,0
flow_00.28,42.5,3.5,0
flow_20.9,24.5,3.0,0
flow_30.42,60.0,4.5,0
flow_30.43,43.0,3.5,0
