vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,21.0,1.5,0
flow_301.0,32.0,3.5,0
flow_101.0,35.5,3.5,0
flow_30.0,29.5,3.0,0
flow_301.1,25.5,2.5,0
flow_1012.0,26.5,4.5,0
flow_301.2,27.5,3.5,0
flow_00.1,36.5,4.0,0
flow_201.0,54.5,3.5,0
flow_00.2,26.0,2.5,0
flow_20.0,52.0,3.0,0
flow_2012.0,53.0,3.5,0
flow_001.0,27.0,3.0,0
flow_00.3,23.0,2.5,0
flow_301.3,34.5,3.5,0
flow_3012.0,25.5,3.5,0
flow_20.1,33.5,4.0,0
flow_30.1,38.5,4.0,0
flow_10.0,36.5,4.0,0
flow_10.1,21.0,1.5,0
flow_201.1,51.5,3.5,0
flow_00.4,22.0,2.0,0
flow_201.2,37.0,3.0,0
flow_201.3,35.5,3.0,0
flow_201.4,26.5,3.0,0
flow_3012.1,33.0,4.5,0
flow_3012.2,27.5,4.0,0
flow_30.2,22.5,2.0,0
flow_101.1,61.5,7.0,0
flow_301.4,25.5,3.0,0
flow_3012.3,26.0,3.5,0
flow_30.3,22.5,2.0,0
flow_00.5,31.0,3.5,0
flow_201.5,54.0,3.5,0
flow_2012.1,23.0,2.5,0
flow_2012.2,26.0,3.5,0
flow_3012.4,48.0,4.0,0
flow_10.2,51.5,6.5,0
flow_30.4,41.0,3.0,0
flow_3012.5,30.5,3.5,0
flow_1012.1,53.0,6.0,0
flow_3012.6,30.0,4.0,0
flow_10.3,25.5,2.5,0
flow_101.2,41.5,4.5,0
flow_0012.0,55.5,5.0,0
flow_001.1,54.0,3.0,0
flow_201.6,50.5,3.5,0
flow_00.6,21.0,2.0,0
flow_201.7,50.5,3.5,0
flow_2012.3,49.0,3.5,0
flow_201.8,26.5,3.0,0
flow_1012.2,46.5,4.0,0
flow_30.5,23.0,2.5,0
flow_10.4,22.0,2.0,0
flow_201.9,54.0,3.5,0
flow_0012.1,53.0,6.5,0
flow_00.7,22.0,2.0,0
flow_1012.3,45.5,4.0,0
flow_00.8,20.5,1.5,0
flow_201.10,24.5,2.5,0
flow_301.5,49.5,3.5,0
flow_101.3,37.5,3.5,0
flow_301.6,37.5,3.0,0
flow_101.4,36.5,3.0,0
flow_30.6,34.5,3.0,0
flow_101.5,27.0,3.0,0
flow_20.2,26.5,3.5,0
flow_2012.4,26.0,3.0,0
flow_0012.2,38.5,7.0,0
flow_0012.3,25.0,3.5,0
flow_301.7,48.5,3.5,0
flow_1012.4,56.5,6.5,0
flow_1012.5,35.0,4.0,0
flow_301.8,41.5,4.0,0
flow_301.9,35.5,3.0,0
flow_20.3,51.0,4.0,0
flow_20.4,39.0,3.0,0
flow_0012.4,24.0,2.5,0
flow_30.7,23.0,2.0,0
flow_0012.5,32.0,4.0,0
flow_301.10,52.5,3.5,0
flow_301.11,49.0,3.0,0
flow_301.12,49.0,3.0,0
flow_3012.7,39.0,3.5,0
