vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_1012.0,25.0,3.5,0
flow_301.0,26.5,3.0,0
flow_20.0,43.0,4.0,0
flow_0012.0,46.0,7.5,0
flow_00.0,38.0,3.5,0
flow_201.0,32.5,3.0,0
flow_00.1,37.5,3.0,0
flow_001.0,36.5,2.5,0
flow_201.1,32.0,3.0,0
flow_201.2,30.5,2.5,0
flow_00.2,21.5,2.0,0
flow_001.1,30.5,3.5,0
flow_20.1,31.0,3.0,0
flow_1012.1,46.5,4.5,0
flow_10.0,44.5,3.0,0
flow_10.1,29.5,3.0,0
flow_30.0,23.0,2.0,0
flow_301.1,27.5,3.5,0
flow_10.2,28.0,3.0,0
flow_101.0,25.0,2.5,0
flow_2012.0,48.5,4.5,0
flow_00.3,52.5,6.5,0
flow_0012.1,37.0,4.0,0
flow_001.2,34.5,2.5,0
flow_1012.2,50.0,4.0,0
flow_3012.0,50.0,4.0,0
flow_3012.1,33.0,4.0,0
flow_30.1,28.5,3.0,0
flow_10.3,36.0,6.0,0
flow_10.4,31.5,4.0,0
flow_1012.3,29.0,3.5,0
flow_3012.2,25.5,3.5,0
flow_001.3,54.0,3.5,0
flow_0012.2,46.0,4.0,0
flow_001.4,44.5,3.0,0
flow_001.5,43.5,3.0,0
flow_001.6,37.0,3.0,0
flow_00.4,22.5,2.0,0
flow_10.5,25.5,3.0,0
flow_3012.3,41.0,7.0,0
flow_3012.4,25.5,3.5,0
flow_20.2,47.0,4.0,0
flow_001.7,51.5,3.5,0
flow_001.8,51.5,3.5,0
flow_0012.3,49.0,4.0,0
flow_201.3,25.5,3.0,0
flow_001.9,45.5,3.0,0
flow_001.10,40.0,3.0,0
flow_201.4,25.5,2.5,0
flow_001.11,37.5,3.5,0
flow_00.5,28.5,3.0,0
flow_101.1,51.5,3.5,0
flow_101.2,51.5,3.0,0
flow_10.6,21.5,2.0,0
flow_10.7,21.0,2.0,0
flow_301.2,25.5,2.5,0
flow_20.3,47.5,4.0,0
flow_001.12,55.5,3.5,0
flow_00.6,54.0,3.0,0
flow_20.4,22.0,1.5,0
flow_00.7,53.5,3.0,0
flow_00.8,52.0,3.0,0
flow_001.13,50.0,2.5,0
flow_0012.4,43.0,3.0,0
flow_20.5,22.0,2.0,0
flow_001.14,43.0,2.5,0
flow_101.3,43.5,3.5,0
flow_301.3,54.5,3.5,0
flow_30.2,33.0,3.0,0
flow_101.4,43.5,3.0,0
flow_1012.4,28.5,3.5,0
flow_10.8,26.5,2.5,0
flow_1012.5,26.5,3.5,0
flow_2012.1,51.0,4.5,0
flow_00.9,61.5,6.5,0
flow_2012.2,52.5,5.5,0
flow_201.5,51.5,3.0,0
flow_001.15,59.0,4.0,0
flow_201.6,50.5,3.0,0
flow_2012.3,48.0,3.0,0
flow_20.6,45.5,2.5,0
flow_101.5,54.5,3.5,0
flow_301.4,34.0,3.5,0
flow_3012.5,33.5,3.5,0
flow_101.6,58.0,6.5,0
flow_3012.6,36.0,5.5,0
flow_10.9,58.0,3.5,0
