vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,24.5,3.0,0
flow_20.0,26.5,3.5,0
flow_00.1,23.0,2.5,0
flow_00.2,26.5,3.5,0
flow_10.0,44.5,4.0,0
flow_30.0,31.0,4.0,0
flow_10.1,44.5,4.0,0
flow_30.1,31.0,4.0,0
flow_30.2,29.5,4.0,0
flow_10.2,39.5,4.0,0
flow_30.3,28.5,4.0,0
flow_10.3,38.0,4.0,0
flow_10.4,36.0,4.0,0
flow_10.5,33.5,4.0,0
flow_10.6,32.5,4.0,0
flow_10.7,31.0,4.0,0
flow_10.8,29.5,4.0,0
flow_30.4,23.5,3.0,0
flow_10.9,23.5,3.0,0
flow_20.1,51.5,4.5,0
flow_00.3,60.0,4.5,0
flow_00.4,58.5,4.0,0
flow_20.2,49.0,4.0,0
flow_00.5,50.0,4.0,0
flow_20.3,44.0,4.0,0
flow_00.6,35.0,3.5,0
flow_20.4,42.5,4.0,0
flow_20.5,41.0,4.0,0
flow_00.7,34.0,4.0,0
flow_00.8,25.0,3.5,0
flow_20.6,40.0,4.0,0
flow_20.7,39.0,4.0,0
flow_00.9,23.5,3.0,0
flow_20.8,38.0,4.5,0
flow_20.9,37.0,4.5,0
flow_20.10,35.5,4.5,0
flow_10.10,59.0,4.0,0
flow_30.5,51.5,4.5,0
flow_10.11,53.0,3.5,0
flow_30.6,38.5,3.5,0
flow_10.12,44.0,4.0,0
flow_30.7,30.5,4.0,0
flow_10.13,39.0,3.5,0
flow_10.14,37.5,4.0,0
flow_30.8,23.5,3.0,0
flow_10.15,24.5,3.0,0
flow_10.16,26.5,3.5,0
flow_30.9,24.0,3.0,0
flow_00.10,55.5,4.5,0
flow_20.11,73.0,4.5,0
flow_20.12,61.0,4.0,0
flow_00.11,48.5,4.0,0
flow_20.13,56.0,4.0,0
flow_00.12,47.5,4.0,0
flow_20.14,55.0,4.0,0
flow_00.13,38.0,4.0,0
flow_20.15,50.5,4.0,0
flow_00.14,36.0,4.5,0
flow_00.15,28.0,4.0,0
flow_30.10,32.5,4.0,0
flow_10.17,23.5,3.0,0
flow_30.11,32.0,4.0,0
flow_30.12,27.0,4.0,0
flow_10.18,23.5,3.0,0
flow_10.19,24.5,3.0,0
flow_10.20,24.0,2.5,0
flow_10.21,25.5,3.5,0
flow_00.16,59.0,4.0,0
flow_20.16,65.5,4.5,0
flow_00.17,58.5,3.5,0
flow_20.17,64.5,4.0,0
flow_00.18,58.5,4.0,0
flow_20.18,51.0,4.0,0
flow_00.19,54.0,4.0,0
flow_20.19,49.5,4.0,0
flow_00.20,52.5,4.0,0
flow_20.20,48.5,4.0,0
flow_00.21,51.5,4.0,0
flow_20.21,47.0,4.0,0
flow_20.22,45.0,4.0,0
flow_00.22,50.0,4.0,0
flow_00.23,50.0,4.5,0
