vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_20.0,22.0,2.0,0
flow_10.0,37.5,4.0,0
flow_10.1,37.0,3.0,0
flow_10.2,36.0,3.0,0
flow_10.3,35.0,2.5,0
flow_10.4,34.0,2.5,0
flow_10.5,29.5,2.5,0
flow_10.6,28.0,2.5,0
flow_10.7,27.0,3.0,0
flow_10.8,25.0,2.5,0
flow_00.0,60.5,4.0,0
flow_20.1,37.5,4.0,0
flow_00.1,60.0,3.0,0
flow_20.2,39.0,3.5,0
flow_00.2,58.5,3.0,0
flow_20.3,37.0,3.0,0
flow_00.3,57.5,2.5,0
flow_20.4,35.5,3.0,0
flow_00.4,56.5,2.5,0
flow_20.5,34.5,3.0,0
flow_00.5,55.0,2.5,0
flow_20.6,32.5,2.5,0
flow_00.6,53.0,2.5,0
flow_20.7,26.5,2.5,0
flow_00.7,52.5,2.5,0
flow_00.8,51.0,2.5,0
flow_00.9,48.5,3.0,0
flow_20.8,20.0,1.5,0
flow_00.10,47.0,3.0,0
flow_30.0,46.0,4.0,0
flow_10.9,58.0,4.0,0
flow_30.1,41.0,3.0,0
flow_10.10,58.0,3.5,0
flow_10.11,56.5,3.0,0
flow_10.12,55.0,3.0,0
flow_30.2,20.5,1.5,0
flow_10.13,53.5,3.0,0
flow_10.14,52.0,2.5,0
flow_10.15,50.0,2.5,0
flow_10.16,48.5,2.5,0
flow_30.3,21.5,2.0,0
flow_10.17,47.0,2.5,0
flow_10.18,45.0,2.5,0
flow_30.4,20.5,1.5,0
flow_10.19,43.5,2.5,0
flow_10.20,42.0,2.5,0
flow_00.11,83.5,4.0,0
flow_20.9,60.0,4.0,0
flow_00.12,68.0,3.0,0
flow_20.10,58.0,3.0,0
flow_20.11,54.0,3.0,0
flow_00.13,65.5,3.0,0
flow_00.14,64.0,3.0,0
flow_20.12,52.0,3.0,0
flow_00.15,62.0,2.5,0
flow_20.13,49.5,2.5,0
flow_00.16,56.0,2.5,0
flow_20.14,48.0,2.5,0
flow_00.17,54.5,2.5,0
flow_20.15,47.5,2.5,0
flow_00.18,53.0,2.5,0
flow_20.16,44.5,2.5,0
flow_00.19,51.5,3.0,0
flow_20.17,39.0,2.5,0
flow_00.20,48.0,2.5,0
flow_20.18,37.5,3.0,0
flow_00.21,46.5,2.5,0
flow_20.19,33.5,2.5,0
flow_00.22,44.5,2.5,0
flow_30.5,57.5,4.0,0
flow_10.21,64.5,4.0,0
flow_30.6,57.0,3.0,0
flow_10.22,61.0,3.5,0
flow_30.7,56.0,3.0,0
flow_10.23,54.0,3.0,0
flow_30.8,39.0,2.5,0
flow_10.24,46.0,3.0,0
flow_10.25,44.5,3.0,0
flow_30.9,38.5,3.0,0
flow_10.26,43.0,2.5,0
flow_30.10,35.0,2.5,0
flow_10.27,39.0,2.5,0
flow_30.11,29.0,2.5,0
flow_10.28,37.5,2.5,0
flow_10.29,31.0,3.0,0
flow_10.30,28.5,3.0,0
flow_00.23,63.5,4.0,0
flow_20.20,57.5,4.0,0
flow_00.24,61.5,3.0,0
flow_20.21,57.5,3.0,0
flow_00.25,61.5,3.0,0
flow_20.22,57.0,3.0,0
flow_00.26,60.0,3.0,0
flow_20.23,55.5,3.0,0
flow_00.27,58.0,3.0,0
flow_20.24,53.5,3.0,0
flow_20.25,51.5,2.5,0
flow_00.28,57.0,2.5,0
flow_00.29,55.0,2.5,0
flow_20.26,47.5,3.0,0
flow_00.30,44.0,2.5,0
flow_00.31,40.5,2.5,0
flow_00.32,33.0,2.5,0
flow_20.27,21.0,1.5,0
flow_00.33,30.0,2.5,0
flow_10.31,51.5,4.0,0
flow_30.12,60.0,4.0,0
flow_10.32,51.0,3.0,0
flow_30.13,51.5,3.0,0
flow_30.14,49.0,3.0,0
flow_10.33,49.0,3.0,0
flow_10.34,47.5,3.0,0
flow_30.15,28.0,2.5,0
flow_30.16,27.0,3.0,0
flow_10.35,27.5,2.5,0
flow_30.17,25.0,3.0,0
flow_10.36,24.5,2.5,0
flow_10.37,23.0,2.0,0
flow_30.18,23.0,2.5,0
flow_10.38,23.0,2.0,0
flow_10.39,22.0,2.0,0
flow_00.34,66.0,4.0,0
flow_20.28,59.5,4.0,0
flow_00.35,54.0,3.0,0
flow_20.29,53.5,3.0,0
flow_00.36,46.0,3.0,0
flow_20.30,53.0,3.0,0
flow_00.37,43.0,2.5,0
flow_20.31,36.5,3.0,0
flow_00.38,42.0,2.5,0
flow_20.32,36.0,3.0,0
flow_00.39,38.0,3.0,0
flow_20.33,23.5,2.5,0
flow_00.40,36.5,2.5,0
flow_20.34,20.5,1.5,0
flow_00.41,34.0,2.5,0
flow_20.35,22.5,2.0,0
flow_10.40,62.0,4.0,0
flow_30.19,57.5,4.0,0
flow_30.20,52.5,3.0,0
flow_10.41,61.0,3.0,0
flow_30.21,52.0,3.0,0
flow_10.42,60.0,3.0,0
flow_10.43,58.5,3.0,0
flow_30.22,23.5,2.0,0
flow_10.44,58.0,3.0,0
flow_30.23,21.5,2.0,0
flow_10.45,47.0,3.0,0
flow_30.24,20.5,2.0,0
flow_10.46,46.0,3.0,0
flow_10.47,42.0,3.0,0
flow_30.25,21.5,1.5,0
flow_10.48,37.0,2.5,0
flow_30.26,21.5,1.5,0
flow_10.49,31.0,2.5,0
flow_20.36,56.5,4.0,0
flow_00.42,48.0,4.0,0
flow_00.43,34.5,3.0,0
flow_20.37,53.5,3.0,0
flow_00.44,26.5,3.0,0
flow_20.38,35.0,3.0,0
flow_20.39,33.5,2.5,0
flow_00.45,21.0,2.0,0
flow_20.40,31.5,2.5,0
flow_20.41,24.0,2.5,0
flow_00.46,21.5,2.0,0
flow_20.42,20.5,1.5,0
flow_30.27,60.0,4.0,0
flow_10.50,63.0,4.0,0
flow_30.28,46.5,3.0,0
flow_10.51,49.5,3.5,0
flow_30.29,31.0,3.0,0
flow_10.52,47.5,3.0,0
flow_10.53,46.5,3.0,0
flow_10.54,42.5,3.0,0
flow_10.55,41.0,2.5,0
flow_10.56,39.5,2.5,0
flow_10.57,37.5,2.5,0
flow_10.58,36.0,3.0,0
flow_10.59,29.0,3.0,0
flow_10.60,24.5,2.5,0
flow_00.47,61.0,4.0,0
flow_20.43,47.0,4.0,0
flow_20.44,46.5,3.0,0
flow_00.48,61.0,3.0,0
flow_00.49,59.5,3.0,0
flow_20.45,39.5,3.0,0
flow_00.50,48.5,2.5,0
flow_20.46,31.5,2.5,0
flow_00.51,40.0,2.5,0
flow_20.47,22.0,2.0,0
flow_00.52,20.5,1.5,0
flow_20.48,21.0,1.5,0
flow_00.53,21.5,2.0,0
flow_20.49,21.0,2.0,0
flow_30.30,59.0,4.0,0
flow_10.61,56.0,4.0,0
flow_10.62,56.0,3.0,0
flow_30.31,55.5,3.0,0
flow_10.63,55.0,3.0,0
flow_30.32,51.5,3.0,0
flow_10.64,53.5,3.0,0
flow_10.65,52.0,3.0,0
flow_10.66,42.5,2.5,0
flow_30.33,19.5,1.5,0
flow_10.67,31.5,2.5,0
flow_10.68,26.5,2.5,0
flow_10.69,25.0,2.5,0
flow_10.70,24.5,2.5,0
flow_30.34,23.0,2.0,0
flow_10.71,23.0,2.0,0
flow_00.54,61.5,4.0,0
flow_20.50,56.0,4.0,0
flow_00.55,61.5,3.0,0
flow_20.51,50.0,3.0,0
flow_00.56,60.5,3.0,0
flow_20.52,49.5,3.0,0
flow_00.57,58.5,2.5,0
flow_20.53,48.0,3.0,0
flow_00.58,56.0,3.0,0
flow_20.54,46.0,3.0,0
flow_00.59,55.0,2.5,0
flow_20.55,45.0,2.5,0
flow_20.56,43.0,2.5,0
flow_00.60,52.5,2.5,0
flow_00.61,51.0,2.5,0
flow_20.57,41.5,2.5,0
flow_20.58,39.5,3.0,0
flow_00.62,40.0,2.5,0
flow_20.59,38.5,3.0,0
flow_00.63,33.0,3.0,0
flow_20.60,36.5,2.5,0
flow_00.64,31.0,3.0,0
