vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_3012.0,44.5,4.5,0
flow_101.0,46.5,7.0,0
flow_301.0,44.0,3.0,0
flow_3012.1,41.0,4.5,0
flow_3012.2,38.5,4.0,0
flow_101.1,41.5,7.0,0
flow_301.1,25.0,2.5,0
flow_1012.0,41.0,4.0,0
flow_3012.3,25.5,3.5,0
flow_10.0,35.5,5.0,0
flow_301.2,25.0,2.5,0
flow_101.2,32.5,3.5,0
flow_3012.4,25.0,3.5,0
flow_2012.0,63.5,4.5,0
flow_0012.0,37.5,4.5,0
flow_0012.1,31.5,4.0,0
flow_20.0,64.5,5.0,0
flow_001.0,30.5,3.0,0
flow_20.1,63.5,3.5,0
flow_2012.1,62.5,3.5,0
flow_2012.2,62.0,4.0,0
flow_20.2,57.5,2.5,0
flow_2012.3,58.0,3.5,0
flow_201.0,57.5,3.0,0
flow_2012.4,54.0,3.0,0
flow_201.1,52.0,3.0,0
flow_301.3,52.0,3.5,0
flow_101.3,63.5,3.5,0
flow_30.0,48.0,3.0,0
flow_101.4,60.5,3.0,0
flow_10.1,54.0,3.0,0
flow_301.4,44.0,3.0,0
flow_1012.1,53.5,3.5,0
flow_101.5,51.5,2.5,0
flow_301.5,32.0,6.5,0
flow_1012.2,51.5,3.5,0
flow_10.2,48.5,3.0,0
flow_1012.3,38.5,3.5,0
flow_30.1,22.5,2.5,0
flow_10.3,35.5,2.5,0
flow_101.6,35.0,2.5,0
flow_30.2,24.0,2.0,0
flow_101.7,29.5,3.0,0
flow_201.2,87.0,3.5,0
flow_001.1,64.0,3.5,0
flow_201.3,83.0,3.0,0
flow_00.0,62.5,3.0,0
flow_20.3,69.5,3.0,0
flow_001.2,49.5,3.0,0
flow_201.4,68.5,2.5,0
flow_0012.2,50.5,5.5,0
flow_201.5,70.0,3.5,0
flow_001.3,24.5,2.0,0
flow_2012.5,69.5,4.0,0
flow_201.6,67.5,3.0,0
flow_001.4,28.0,3.0,0
flow_201.7,57.0,3.0,0
flow_201.8,52.0,3.0,0
flow_301.6,52.0,3.5,0
flow_1012.4,67.5,6.0,0
flow_30.3,52.5,3.5,0
flow_101.8,41.0,3.0,0
flow_1012.5,29.0,4.0,0
flow_101.9,26.5,2.5,0
flow_301.7,35.0,4.0,0
flow_301.8,33.5,3.0,0
flow_1012.6,27.5,4.5,0
flow_30.4,34.0,3.5,0
flow_101.10,26.0,2.5,0
flow_301.9,31.5,3.0,0
flow_301.10,32.0,3.0,0
flow_1012.7,29.0,5.5,0
flow_0012.3,46.5,4.5,0
flow_20.4,91.5,6.5,0
flow_001.5,26.0,2.5,0
flow_20.5,91.5,4.0,0
flow_2012.6,90.0,4.0,0
flow_0012.4,25.0,3.5,0
flow_2012.7,77.0,4.0,0
flow_201.9,73.0,2.5,0
flow_001.6,26.5,2.5,0
flow_2012.8,72.0,4.0,0
flow_20.6,68.5,3.0,0
flow_20.7,66.5,2.5,0
flow_00.1,20.5,1.5,0
flow_201.10,67.0,3.0,0
flow_20.8,64.0,2.5,0
flow_10.4,62.0,4.0,0
flow_3012.5,62.5,7.5,0
flow_1012.8,55.0,4.0,0
flow_10.5,28.0,2.5,0
flow_301.11,59.5,3.5,0
flow_301.12,58.0,3.0,0
flow_30.5,52.5,3.0,0
flow_3012.6,50.0,3.5,0
flow_301.13,38.5,2.5,0
flow_1012.9,26.0,4.0,0
flow_10.6,22.5,2.0,0
flow_30.6,39.0,4.5,0
flow_30.7,37.5,3.5,0
flow_301.14,27.0,2.5,0
flow_2012.9,102.0,4.0,0
flow_0012.5,64.0,4.5,0
flow_00.2,30.0,3.0,0
flow_201.11,102.0,3.5,0
flow_20.9,70.0,3.0,0
flow_20.10,68.0,2.5,0
flow_20.11,66.5,2.5,0
flow_201.12,65.0,2.5,0
flow_2012.10,64.5,3.5,0
flow_0012.6,26.5,3.5,0
flow_2012.11,62.0,3.5,0
flow_2012.12,61.0,3.5,0
flow_00.3,26.0,5.0,0
flow_2012.13,62.5,6.5,0
flow_00.4,28.0,6.0,0
flow_101.11,64.5,3.5,0
flow_301.15,64.0,3.5,0
flow_10.7,48.5,3.0,0
flow_30.8,61.0,3.0,0
flow_30.9,55.5,3.0,0
flow_101.12,49.5,3.5,0
flow_30.10,46.5,2.5,0
flow_101.13,41.5,3.5,0
flow_101.14,33.0,3.5,0
flow_1012.10,30.5,3.5,0
flow_3012.7,50.5,6.0,0
flow_30.11,46.5,3.5,0
flow_101.15,30.5,3.0,0
flow_301.16,45.0,2.5,0
flow_3012.8,44.5,3.5,0
flow_30.12,34.5,2.5,0
flow_101.16,25.0,3.0,0
flow_301.17,34.5,2.5,0
flow_2012.14,98.5,4.5,0
flow_00.5,63.5,6.5,0
flow_201.13,97.5,3.0,0
flow_0012.7,59.5,5.0,0
flow_0012.8,57.5,4.0,0
flow_00.6,54.0,3.0,0
flow_201.14,78.0,4.5,0
flow_0012.9,38.0,4.5,0
flow_201.15,79.0,4.0,0
