vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,20.5,1.5,0
flow_201.0,26.0,3.0,0
flow_001.0,25.0,2.5,0
flow_101.0,42.5,3.5,0
flow_301.0,27.0,3.0,0
flow_1012.0,35.0,4.0,0
flow_10.0,21.5,2.0,0
flow_301.1,27.0,3.0,0
flow_301.2,26.0,3.0,0
flow_301.3,25.5,2.5,0
flow_1012.1,25.5,3.5,0
flow_301.4,27.0,3.0,0
flow_2012.0,63.5,4.5,0
flow_201.1,56.0,3.0,0
flow_001.1,54.0,7.5,0
flow_201.2,45.0,3.0,0
flow_00.1,37.5,3.5,0
flow_0012.0,54.5,5.0,0
flow_00.2,36.5,3.0,0
flow_201.3,47.0,3.5,0
flow_20.0,37.5,3.0,0
flow_001.2,33.0,2.5,0
flow_201.4,37.5,3.0,0
flow_2012.1,35.5,3.5,0
flow_201.5,29.0,3.0,0
flow_201.6,28.5,3.0,0
flow_201.7,26.5,3.0,0
flow_3012.0,57.0,4.5,0
flow_301.5,54.0,3.0,0
flow_10.1,56.0,6.5,0
flow_301.6,53.0,3.0,0
flow_10.2,51.5,4.0,0
flow_1012.2,50.0,4.5,0
flow_10.3,47.0,3.0,0
flow_301.7,55.0,3.5,0
flow_101.1,47.0,2.5,0
flow_30.0,44.5,3.0,0
flow_30.1,34.5,3.0,0
flow_101.2,46.0,3.0,0
flow_101.3,26.5,3.0,0
flow_3012.1,36.5,4.5,0
flow_1012.3,26.0,3.5,0
flow_3012.2,35.5,4.5,0
flow_301.8,33.0,3.0,0
flow_2012.2,52.5,4.0,0
flow_201.8,32.0,3.0,0
flow_001.3,56.0,7.0,0
flow_201.9,31.0,3.0,0
flow_0012.1,51.0,5.0,0
flow_0012.2,46.5,4.5,0
flow_201.10,35.5,4.0,0
flow_201.11,35.0,3.0,0
flow_001.4,24.5,2.5,0
flow_20.1,33.0,3.0,0
flow_10.4,52.0,4.0,0
flow_301.9,70.0,3.5,0
flow_301.10,68.5,3.0,0
flow_101.4,53.0,3.0,0
flow_30.2,66.0,3.0,0
flow_10.5,51.5,3.0,0
flow_30.3,66.0,3.0,0
flow_1012.4,54.0,6.5,0
flow_101.5,52.5,3.5,0
flow_301.11,69.5,3.0,0
flow_101.6,51.0,3.5,0
flow_301.12,68.5,3.0,0
flow_101.7,49.5,3.0,0
flow_3012.3,64.0,4.5,0
flow_10.6,45.0,4.0,0
flow_3012.4,59.5,7.5,0
flow_001.5,54.0,3.5,0
flow_201.12,52.0,3.5,0
flow_001.6,53.5,3.0,0
flow_201.13,51.0,3.0,0
flow_001.7,34.5,3.0,0
flow_2012.3,52.5,6.0,0
flow_201.14,52.0,3.5,0
flow_30.4,91.5,4.0,0
flow_101.8,71.5,4.0,0
flow_10.7,55.0,3.0,0
flow_301.13,93.0,3.0,0
flow_301.14,92.0,3.5,0
flow_101.9,47.0,3.5,0
flow_1012.5,46.0,4.0,0
flow_10.8,32.5,2.5,0
flow_301.15,84.0,7.0,0
flow_10.9,31.0,2.5,0
flow_301.16,81.5,3.5,0
flow_101.10,30.5,2.5,0
flow_301.17,79.0,3.5,0
flow_101.11,29.5,3.0,0
flow_301.18,77.5,3.5,0
flow_101.12,28.0,3.0,0
flow_30.5,74.0,2.5,0
flow_101.13,27.0,3.0,0
flow_301.19,72.5,3.5,0
flow_20.2,36.0,4.0,0
flow_001.8,65.0,3.5,0
flow_20.3,30.0,3.0,0
flow_0012.3,41.5,5.5,0
flow_0012.4,40.5,4.5,0
flow_001.9,39.0,3.0,0
flow_00.3,35.0,2.5,0
flow_201.15,38.0,4.0,0
flow_001.10,35.5,2.5,0
flow_201.16,24.5,2.5,0
flow_201.17,25.0,2.5,0
flow_301.20,90.0,3.5,0
flow_101.14,52.0,3.5,0
flow_10.10,34.0,3.0,0
flow_301.21,71.5,3.0,0
flow_1012.6,35.5,4.0,0
flow_301.22,74.0,7.0,0
flow_1012.7,37.0,5.0,0
flow_30.6,51.0,2.5,0
flow_10.11,34.5,3.5,0
flow_3012.5,61.5,4.5,0
flow_30.7,50.5,3.0,0
flow_101.15,34.5,3.0,0
flow_10.12,21.0,2.0,0
flow_301.23,50.5,3.0,0
flow_30.8,47.0,2.5,0
flow_301.24,48.0,3.0,0
flow_20.4,61.5,4.0,0
flow_001.11,62.0,3.5,0
flow_2012.4,62.0,4.0,0
flow_201.18,48.0,3.0,0
flow_201.19,47.5,3.0,0
flow_001.12,25.0,2.5,0
flow_201.20,46.0,3.0,0
flow_001.13,25.0,2.5,0
flow_2012.5,23.0,2.5,0
flow_30.9,80.0,4.0,0
flow_101.16,59.0,3.5,0
flow_10.13,33.0,3.0,0
flow_301.25,81.5,3.5,0
flow_101.17,30.0,3.0,0
flow_1012.8,29.0,3.0,0
flow_30.10,59.5,3.5,0
flow_10.14,25.5,2.5,0
flow_3012.6,67.5,5.0,0
flow_10.15,24.5,2.5,0
flow_301.26,48.5,3.0,0
flow_30.11,42.0,2.5,0
flow_10.16,22.5,2.5,0
flow_301.27,44.0,3.5,0
flow_30.12,40.5,3.0,0
flow_30.13,34.5,3.0,0
flow_30.14,33.0,2.5,0
flow_00.4,38.5,4.0,0
flow_201.21,63.0,3.5,0
flow_201.22,61.5,3.0,0
flow_001.14,24.0,2.0,0
flow_2012.6,61.0,4.5,0
flow_20.5,56.0,2.5,0
flow_2012.7,56.0,3.0,0
flow_201.23,53.5,3.0,0
flow_001.15,26.0,3.0,0
flow_00.5,22.0,2.0,0
flow_201.24,51.5,3.0,0
flow_20.6,46.5,2.5,0
flow_201.25,51.0,3.5,0
flow_30.15,28.0,3.5,0
flow_101.18,63.5,3.5,0
flow_1012.9,62.5,3.5,0
flow_1012.10,57.0,4.0,0
flow_10.17,53.5,2.5,0
flow_301.28,28.0,5.0,0
flow_101.19,53.5,3.0,0
flow_10.18,47.5,2.5,0
flow_101.20,37.5,2.5,0
flow_301.29,27.5,3.0,0
flow_30.16,23.5,2.0,0
flow_101.21,29.5,3.0,0
flow_30.17,22.0,2.0,0
flow_1012.11,25.5,3.5,0
flow_2012.8,47.5,4.5,0
flow_201.26,41.5,3.0,0
flow_001.16,66.0,7.5,0
flow_2012.9,41.5,4.0,0
flow_20.7,38.5,2.5,0
flow_001.17,64.0,4.0,0
flow_201.27,31.0,3.0,0
flow_001.18,49.5,3.0,0
flow_201.28,27.0,3.0,0
flow_201.29,26.0,3.0,0
flow_201.30,24.5,2.5,0
flow_2012.10,25.5,3.5,0
flow_301.30,58.5,3.5,0
flow_101.22,59.5,3.5,0
flow_30.18,52.0,3.0,0
flow_101.23,59.0,3.0,0
flow_3012.7,53.0,4.0,0
flow_301.31,51.0,2.5,0
flow_101.24,57.5,7.0,0
flow_10.19,41.0,3.0,0
flow_301.32,50.5,3.5,0
flow_30.19,47.0,2.5,0
flow_301.33,47.0,3.0,0
flow_3012.8,45.0,3.5,0
flow_3012.9,44.5,4.0,0
flow_301.34,42.0,2.5,0
flow_101.25,30.5,4.0,0
flow_301.35,41.0,3.0,0
flow_20.8,59.5,4.0,0
flow_001.19,29.5,3.5,0
flow_20.9,55.5,3.5,0
flow_201.31,49.0,3.0,0
flow_201.32,48.0,2.5,0
flow_20.10,43.0,2.5,0
flow_00.6,23.0,2.5,0
flow_201.33,44.5,2.5,0
flow_20.11,39.5,2.5,0
flow_001.20,25.5,2.5,0
flow_001.21,26.0,3.0,0
flow_3012.10,77.5,4.5,0
flow_101.26,58.5,7.5,0
flow_301.36,69.5,3.5,0
flow_301.37,67.0,3.5,0
flow_101.27,58.0,3.5,0
flow_101.28,53.5,3.0,0
flow_301.38,68.0,4.0,0
flow_101.29,43.0,3.5,0
flow_301.39,66.5,3.5,0
flow_3012.11,64.5,4.0,0
flow_30.20,61.5,3.0,0
flow_101.30,25.5,2.5,0
flow_30.21,60.0,3.0,0
flow_101.31,25.0,2.5,0
flow_30.22,60.0,3.0,0
flow_3012.12,58.0,3.5,0
flow_2012.11,63.5,4.5,0
flow_0012.5,41.5,4.5,0
flow_20.12,61.5,3.0,0
flow_00.7,35.5,3.0,0
flow_201.34,61.0,2.5,0
flow_001.22,34.0,3.0,0
flow_201.35,60.5,3.0,0
flow_001.23,29.5,3.0,0
flow_201.36,58.0,3.0,0
flow_001.24,26.0,3.0,0
flow_2012.12,57.5,4.5,0
flow_201.37,50.5,2.5,0
flow_001.25,27.0,3.0,0
flow_00.8,23.0,2.0,0
flow_201.38,31.5,3.0,0
flow_201.39,30.5,3.0,0
flow_20.13,26.5,2.5,0
flow_3012.13,95.0,4.5,0
flow_301.40,94.0,3.0,0
flow_101.32,69.0,7.0,0
flow_301.41,72.5,3.5,0
flow_101.33,64.5,3.0,0
flow_301.42,69.5,3.0,0
flow_30.23,65.5,2.5,0
flow_101.34,62.5,3.0,0
flow_10.20,56.5,3.0,0
flow_301.43,65.0,2.0,0
flow_101.35,58.0,3.0,0
flow_3012.14,66.5,4.5,0
flow_301.44,64.0,3.0,0
flow_101.36,59.5,4.0,0
flow_10.21,56.5,3.0,0
flow_301.45,61.0,3.5,0
flow_10.22,55.5,3.0,0
flow_301.46,59.0,3.0,0
flow_00.9,58.5,4.0,0
flow_201.40,59.0,3.5,0
flow_00.10,56.0,3.0,0
flow_2012.13,61.0,6.0,0
flow_20.14,56.5,3.5,0
flow_001.26,60.0,2.5,0
flow_201.41,57.0,2.5,0
flow_0012.6,59.5,3.5,0
flow_201.42,59.0,6.0,0
flow_20.15,56.0,3.0,0
flow_2012.14,55.5,3.0,0
flow_20.16,46.0,2.5,0
flow_10.23,91.5,4.0,0
flow_301.47,98.5,4.0,0
flow_101.37,92.5,3.0,0
flow_301.48,89.0,3.5,0
flow_101.38,91.5,3.0,0
flow_301.49,73.0,3.5,0
flow_1012.12,90.5,4.0,0
flow_101.39,74.5,2.5,0
flow_301.50,73.0,6.5,0
flow_1012.13,72.5,4.0,0
flow_101.40,69.5,2.5,0
flow_301.51,75.5,3.5,0
flow_101.41,68.5,3.0,0
flow_301.52,75.0,3.5,0
flow_1012.14,70.0,5.5,0
flow_10.24,66.0,3.0,0
flow_30.24,74.0,3.5,0
flow_201.43,81.5,3.5,0
flow_001.27,30.5,3.5,0
flow_201.44,73.5,3.0,0
flow_001.28,28.0,3.0,0
flow_201.45,71.5,3.5,0
flow_001.29,26.5,2.5,0
flow_201.46,70.0,3.5,0
flow_201.47,68.5,3.0,0
flow_20.17,46.5,2.5,0
flow_2012.15,45.5,3.0,0
flow_0012.7,26.0,3.5,0
flow_2012.16,44.5,3.5,0
flow_2012.17,29.0,3.5,0
flow_201.48,28.0,3.0,0
flow_20.18,24.5,2.5,0
flow_001.30,31.5,6.0,0
flow_1012.15,103.0,4.0,0
flow_30.25,113.0,6.5,0
flow_1012.16,103.5,5.5,0
flow_10.25,73.0,3.0,0
flow_301.53,117.5,4.0,0
flow_1012.17,73.0,4.5,0
flow_10.26,66.0,3.0,0
flow_101.42,71.0,3.0,0
flow_301.54,119.0,4.0,0
flow_101.43,65.5,2.5,0
flow_3012.15,118.0,6.0,0
flow_10.27,66.5,3.0,0
flow_301.55,114.0,3.0,0
flow_3012.16,94.5,4.5,0
flow_101.44,71.5,7.0,0
flow_0012.8,67.5,4.0,0
flow_2012.18,47.5,4.5,0
flow_00.11,53.0,3.0,0
flow_201.49,26.5,3.0,0
flow_0012.9,47.0,4.0,0
flow_001.31,46.0,3.0,0
flow_0012.10,35.5,3.5,0
flow_00.12,31.5,2.5,0
flow_001.32,30.0,2.5,0
flow_001.33,29.0,3.0,0
flow_201.50,25.0,2.5,0
flow_3012.17,127.0,4.0,0
flow_10.28,105.5,6.5,0
flow_3012.18,128.5,5.5,0
flow_301.56,126.0,3.0,0
flow_101.45,109.0,4.0,0
flow_301.57,125.0,3.0,0
flow_1012.18,109.5,4.5,0
flow_101.46,80.5,3.0,0
flow_301.58,125.0,3.5,0
flow_1012.19,79.0,4.5,0
