vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_30.0,31.5,3.5,0
flow_3012.0,31.0,3.5,0
flow_1012.0,24.0,3.0,0
flow_30.1,22.5,2.5,0
flow_301.0,25.0,2.5,0
flow_3012.1,24.5,3.0,0
flow_1012.1,25.5,3.5,0
flow_20.0,62.0,4.0,0
flow_001.0,61.0,3.5,0
flow_201.0,62.0,3.0,0
flow_001.1,25.0,2.5,0
flow_201.1,60.0,3.5,0
flow_20.1,37.0,2.5,0
flow_2012.0,58.0,4.0,0
flow_2012.1,30.5,3.0,0
flow_20.2,27.5,2.5,0
flow_201.2,27.0,2.0,0
flow_20.3,24.0,2.0,0
flow_3012.2,63.5,4.5,0
flow_1012.2,65.0,4.5,0
flow_3012.3,59.0,4.0,0
flow_301.1,57.0,3.0,0
flow_30.2,54.0,2.5,0
flow_101.0,64.0,4.0,0
flow_101.1,63.5,3.0,0
flow_3012.4,47.5,4.5,0
flow_301.2,45.0,3.0,0
flow_101.2,38.5,4.0,0
flow_301.3,43.5,3.0,0
flow_3012.5,42.0,3.5,0
flow_3012.6,29.5,3.5,0
flow_2012.2,65.0,4.5,0
flow_201.3,56.0,3.0,0
flow_20.4,43.5,3.0,0
flow_201.4,43.0,2.5,0
flow_2012.3,43.0,3.5,0
flow_20.5,38.5,2.5,0
flow_20.6,30.5,2.5,0
flow_20.7,28.5,2.5,0
flow_201.5,28.0,2.5,0
flow_201.6,26.0,2.5,0
flow_10.0,61.5,4.0,0
flow_301.4,34.0,3.5,0
flow_30.3,33.0,3.0,0
flow_3012.7,24.0,2.5,0
flow_201.7,64.0,3.5,0
flow_201.8,47.0,3.0,0
flow_201.9,46.5,3.0,0
flow_201.10,25.0,2.5,0
flow_30.4,42.5,4.0,0
flow_101.3,56.0,3.5,0
flow_301.5,39.0,3.0,0
flow_301.6,36.0,3.0,0
flow_3012.8,36.0,4.0,0
flow_1012.3,25.5,3.5,0
flow_20.8,22.0,2.0,0
flow_201.11,24.5,2.0,0
flow_0012.0,26.5,4.0,0
flow_0012.1,27.0,3.5,0
flow_301.7,57.0,3.5,0
flow_3012.9,55.5,3.5,0
flow_301.8,51.5,3.0,0
flow_101.4,29.0,3.5,0
flow_101.5,27.5,3.0,0
flow_301.9,23.5,2.0,0
flow_3012.10,26.5,3.5,0
flow_201.12,54.5,3.5,0
flow_001.2,43.0,3.5,0
flow_201.13,54.0,3.0,0
flow_201.14,54.0,3.5,0
flow_20.9,50.5,3.0,0
flow_2012.4,26.0,3.5,0
flow_001.3,30.5,6.0,0
flow_001.4,26.0,2.5,0
flow_30.5,36.0,4.0,0
flow_301.10,38.0,3.5,0
flow_3012.11,24.0,3.0,0
flow_301.11,28.5,3.0,0
flow_00.0,42.0,4.0,0
flow_201.15,59.0,3.5,0
flow_20.10,51.5,3.0,0
flow_2012.5,52.0,3.5,0
flow_201.16,42.0,2.5,0
flow_201.17,28.5,3.0,0
flow_20.11,22.0,2.0,0
flow_0012.2,26.5,3.5,0
flow_00.1,23.5,2.0,0
flow_30.6,52.0,4.0,0
flow_10.1,40.0,4.0,0
flow_1012.4,29.0,4.0,0
flow_1012.5,28.0,3.5,0
flow_301.12,52.0,6.5,0
flow_30.7,25.5,3.0,0
flow_30.8,24.0,2.0,0
flow_3012.12,27.5,3.5,0
flow_301.13,27.5,3.0,0
flow_2012.6,62.5,4.5,0
flow_201.18,61.0,3.0,0
flow_201.19,46.5,3.0,0
flow_201.20,45.0,3.0,0
flow_201.21,26.5,3.0,0
flow_0012.3,22.5,2.5,0
flow_301.14,58.0,3.5,0
flow_1012.6,57.0,6.5,0
flow_30.9,53.5,3.5,0
flow_101.6,54.0,3.0,0
flow_1012.7,43.0,4.0,0
flow_30.10,48.5,5.5,0
flow_101.7,42.0,2.5,0
flow_10.2,33.5,2.5,0
flow_301.15,25.0,2.5,0
flow_301.16,26.5,2.5,0
flow_101.8,25.0,2.5,0
flow_301.17,25.5,2.5,0
flow_001.5,62.5,3.5,0
flow_201.22,59.5,3.5,0
flow_201.23,60.0,3.5,0
flow_001.6,48.5,3.5,0
flow_0012.4,48.0,4.5,0
flow_001.7,44.5,2.5,0
flow_201.24,49.0,7.0,0
flow_20.12,39.0,3.0,0
flow_201.25,29.0,2.5,0
flow_001.8,26.0,3.0,0
flow_00.2,21.5,2.0,0
flow_201.26,28.5,2.5,0
flow_2012.7,27.5,3.5,0
flow_2012.8,26.0,3.5,0
