vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_201.0,25.0,2.5,0
flow_2012.0,25.5,3.0,0
flow_2012.1,25.5,3.0,0
flow_00.0,23.5,2.5,0
flow_2012.2,24.5,3.0,0
flow_3012.0,32.0,4.0,0
flow_101.0,43.5,7.0,0
flow_3012.1,26.0,3.5,0
flow_30.0,22.5,2.0,0
flow_10.0,43.0,5.0,0
flow_101.1,42.0,3.0,0
flow_1012.0,41.0,3.5,0
flow_101.2,38.5,2.5,0
flow_1012.1,34.5,3.5,0
flow_301.0,29.5,4.0,0
flow_3012.2,27.0,3.5,0
flow_1012.2,25.5,3.5,0
flow_3012.3,26.0,3.5,0
flow_0012.0,63.5,4.0,0
flow_20.0,59.5,6.5,0
flow_2012.3,50.0,4.0,0
flow_0012.1,41.0,5.5,0
flow_2012.4,44.5,4.0,0
flow_00.1,30.0,3.0,0
flow_20.1,41.0,3.0,0
flow_0012.2,35.5,4.5,0
flow_20.2,40.0,3.0,0
flow_001.0,26.5,2.5,0
flow_201.1,33.0,2.5,0
flow_0012.3,25.5,3.5,0
flow_2012.5,26.5,3.5,0
flow_201.2,26.0,2.5,0
flow_0012.4,26.5,4.0,0
flow_101.3,60.5,3.5,0
flow_301.1,62.0,3.5,0
flow_10.1,59.0,3.0,0
flow_30.1,60.0,3.0,0
flow_10.2,58.5,3.0,0
flow_301.2,59.5,3.0,0
flow_10.3,57.5,3.0,0
flow_301.3,60.0,3.5,0
flow_101.4,51.5,2.5,0
flow_301.4,48.0,3.5,0
flow_3012.4,46.0,4.0,0
flow_1012.3,53.5,5.0,0
flow_3012.5,45.0,4.0,0
flow_30.2,41.5,3.0,0
flow_10.4,43.0,6.5,0
flow_101.5,41.5,3.5,0
flow_3012.6,43.5,4.5,0
flow_1012.4,40.0,3.5,0
flow_1012.5,27.0,4.0,0
flow_0012.5,61.5,4.5,0
flow_20.3,65.0,6.5,0
flow_00.2,59.0,3.0,0
flow_201.3,61.0,3.5,0
