vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,21.0,1.5,0
flow_00.1,21.5,2.0,0
flow_00.2,20.5,1.5,0
flow_20.0,20.5,1.5,0
flow_00.3,22.0,2.0,0
flow_00.4,22.0,2.0,0
flow_10.0,51.5,4.0,0
flow_30.0,26.0,3.0,0
flow_10.1,43.0,3.0,0
flow_10.2,43.0,3.0,0
flow_10.3,41.5,2.5,0
flow_10.4,40.0,2.5,0
flow_10.5,38.0,2.5,0
flow_10.6,22.5,2.0,0
flow_30.1,21.5,2.0,0
flow_10.7,23.0,2.0,0
flow_10.8,22.5,2.0,0
flow_30.2,21.0,1.5,0
flow_10.9,22.0,2.0,0
flow_10.10,22.0,2.0,0
flow_10.11,22.0,1.5,0
flow_20.1,58.0,4.0,0
flow_00.5,68.5,4.0,0
flow_00.6,60.5,3.0,0
flow_20.2,52.0,3.0,0
flow_20.3,42.0,3.0,0
flow_00.7,60.0,3.0,0
flow_00.8,59.0,3.0,0
flow_00.9,57.0,3.0,0
flow_00.10,41.5,2.5,0
flow_00.11,40.0,2.5,0
flow_00.12,39.0,2.5,0
flow_00.13,37.0,2.5,0
flow_00.14,33.0,2.5,0
flow_00.15,31.5,2.5,0
flow_00.16,30.0,3.0,0
flow_00.17,27.5,3.0,0
flow_00.18,25.5,3.0,0
flow_00.19,23.5,2.5,0
flow_10.12,68.5,4.0,0
flow_30.3,66.5,4.0,0
flow_30.4,57.0,3.0,0
flow_10.13,66.5,3.0,0
flow_10.14,55.5,3.0,0
flow_30.5,50.5,3.0,0
flow_30.6,49.0,3.0,0
flow_10.15,47.0,3.0,0
flow_10.16,45.5,3.0,0
flow_30.7,41.5,3.0,0
flow_10.17,44.0,2.5,0
flow_30.8,40.0,2.5,0
flow_10.18,28.0,2.5,0
flow_30.9,37.5,2.5,0
flow_30.10,36.0,2.5,0
flow_30.11,34.5,2.5,0
flow_10.19,20.5,1.5,0
flow_30.12,24.5,2.5,0
flow_30.13,22.0,2.0,0
flow_10.20,21.0,1.5,0
flow_20.4,61.0,4.0,0
flow_00.20,70.0,4.0,0
flow_00.21,64.5,3.0,0
flow_20.5,44.0,3.0,0
flow_20.6,31.0,3.0,0
flow_00.22,64.0,3.0,0
flow_00.23,62.5,3.0,0
flow_00.24,57.5,3.0,0
flow_00.25,56.5,2.5,0
flow_00.26,54.5,2.5,0
flow_20.7,21.0,1.5,0
flow_00.27,52.0,2.5,0
flow_00.28,50.5,2.5,0
flow_00.29,49.0,3.0,0
flow_00.30,47.5,3.0,0
flow_20.8,21.5,2.0,0
flow_00.31,45.5,2.5,0
flow_00.32,28.5,2.5,0
flow_20.9,21.5,2.0,0
flow_00.33,25.0,2.5,0
flow_00.34,23.5,2.5,0
flow_10.21,63.0,4.0,0
flow_30.14,69.0,4.0,0
flow_10.22,60.0,3.0,0
flow_30.15,62.0,3.0,0
flow_10.23,58.5,3.0,0
flow_30.16,60.5,3.0,0
flow_30.17,60.0,3.0,0
flow_10.24,54.0,3.0,0
flow_10.25,52.5,3.0,0
flow_10.26,50.5,2.5,0
flow_30.18,21.5,2.0,0
flow_10.27,44.5,2.5,0
flow_10.28,43.0,2.5,0
flow_10.29,41.5,2.5,0
flow_30.19,21.5,2.0,0
flow_10.30,35.5,2.5,0
flow_10.31,20.5,1.5,0
flow_30.20,20.5,1.5,0
flow_30.21,22.0,2.0,0
flow_00.35,70.0,4.0,0
flow_20.10,71.0,4.0,0
flow_00.36,69.0,3.0,0
flow_20.11,61.5,3.0,0
flow_00.37,68.5,3.0,0
flow_20.12,53.0,3.0,0
flow_00.38,67.0,2.5,0
flow_20.13,50.5,3.0,0
flow_20.14,48.5,2.5,0
flow_00.39,65.5,2.5,0
flow_00.40,64.0,2.5,0
flow_20.15,34.5,2.5,0
flow_00.41,62.5,2.5,0
flow_20.16,33.0,2.5,0
flow_00.42,60.5,2.5,0
flow_00.43,59.5,2.5,0
flow_00.44,58.5,2.5,0
flow_00.45,54.5,3.0,0
flow_00.46,48.5,3.0,0
flow_00.47,28.5,2.5,0
flow_00.48,25.5,2.5,0
flow_20.17,21.0,1.5,0
flow_00.49,24.0,2.0,0
flow_10.32,65.0,4.0,0
flow_30.22,71.0,4.0,0
flow_30.23,70.0,3.0,0
flow_10.33,65.5,3.0,0
flow_30.24,68.5,3.0,0
