vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_2012.0,25.5,3.5,0
flow_301.0,32.0,3.5,0
flow_101.0,34.5,3.5,0
flow_1012.0,24.5,3.0,0
flow_20.0,65.5,4.0,0
flow_20.1,21.0,2.0,0
flow_001.0,25.0,2.5,0
flow_201.0,25.0,2.5,0
flow_00.0,21.5,2.0,0
flow_2012.1,24.5,3.0,0
flow_10.0,71.5,4.0,0
flow_301.1,52.0,3.5,0
flow_101.1,72.0,3.0,0
flow_301.2,51.5,3.0,0
flow_3012.0,24.0,3.0,0
flow_301.3,25.5,2.5,0
flow_301.4,24.0,2.5,0
flow_301.5,26.0,3.0,0
flow_00.1,69.5,4.0,0
flow_20.2,60.0,4.0,0
flow_001.1,46.0,2.5,0
flow_001.2,24.5,2.0,0
flow_0012.0,25.0,3.5,0
flow_001.3,24.5,2.5,0
flow_001.4,27.0,3.0,0
flow_301.6,68.5,3.5,0
flow_101.2,71.0,3.5,0
flow_101.3,38.0,3.0,0
flow_301.7,62.0,3.0,0
flow_1012.1,38.0,4.0,0
flow_301.8,49.0,7.0,0
flow_3012.1,42.0,3.5,0
flow_101.4,28.0,6.0,0
flow_3012.2,36.5,6.0,0
flow_101.5,26.5,3.0,0
flow_001.5,52.5,3.5,0
flow_201.1,55.5,3.5,0
flow_2012.2,34.0,3.5,0
flow_101.6,73.0,3.5,0
flow_10.1,58.0,3.0,0
flow_101.7,51.0,3.0,0
flow_3012.3,25.5,3.5,0
flow_001.6,34.5,3.5,0
flow_0012.1,35.0,4.0,0
flow_0012.2,31.0,4.0,0
flow_201.2,30.5,4.0,0
flow_201.3,27.5,3.5,0
flow_0012.3,25.0,3.5,0
flow_201.4,24.5,2.5,0
flow_1012.2,71.5,4.5,0
flow_1012.3,66.0,4.0,0
flow_101.8,25.5,2.5,0
flow_101.9,27.0,3.0,0
flow_1012.4,26.0,3.5,0
flow_1012.5,25.5,3.0,0
flow_1012.6,23.5,3.0,0
flow_30.0,24.5,2.5,0
flow_2012.3,40.0,4.5,0
flow_001.7,69.0,7.5,0
flow_201.5,24.5,2.5,0
flow_0012.4,24.5,3.0,0
flow_2012.4,24.5,3.0,0
flow_301.9,53.0,3.5,0
flow_1012.7,64.0,7.0,0
flow_101.10,42.5,3.0,0
flow_101.11,41.0,3.0,0
flow_301.10,34.5,4.0,0
flow_10.2,40.0,3.0,0
flow_3012.4,25.5,3.5,0
flow_201.6,69.0,3.5,0
flow_001.8,62.5,3.5,0
flow_0012.5,54.5,4.0,0
flow_201.7,60.0,7.0,0
flow_0012.6,52.0,5.0,0
flow_001.9,48.5,3.0,0
flow_001.10,35.0,3.5,0
flow_001.11,34.0,3.5,0
flow_201.8,25.5,2.5,0
flow_3012.5,63.0,4.5,0
flow_101.12,78.0,7.0,0
flow_3012.6,51.5,5.0,0
flow_301.11,42.0,3.0,0
flow_10.3,62.0,3.5,0
flow_301.12,29.0,3.0,0
flow_1012.8,63.5,5.0,0
flow_3012.7,27.5,3.5,0
flow_101.13,64.5,6.0,0
flow_101.14,63.5,3.0,0
flow_101.15,62.5,3.0,0
flow_1012.9,39.5,4.0,0
flow_3012.8,23.5,3.0,0
flow_10.4,23.0,2.5,0
flow_201.9,49.0,3.5,0
flow_00.2,22.0,2.0,0
flow_201.10,27.0,3.0,0
flow_101.16,72.0,3.5,0
flow_301.13,72.5,3.5,0
flow_101.17,71.5,3.5,0
flow_301.14,64.0,3.5,0
flow_101.18,24.5,2.5,0
flow_301.15,24.0,2.0,0
flow_301.16,25.5,2.5,0
flow_3012.9,25.0,3.5,0
flow_20.3,56.0,4.0,0
flow_001.12,57.5,3.5,0
flow_2012.5,47.5,3.5,0
flow_0012.7,36.0,4.0,0
flow_2012.6,47.0,4.0,0
flow_201.11,27.5,2.5,0
flow_00.3,21.5,2.0,0
flow_201.12,24.5,2.5,0
flow_3012.10,75.5,4.5,0
flow_301.17,52.0,3.0,0
flow_30.1,49.0,3.0,0
flow_101.19,25.0,2.5,0
flow_1012.10,25.5,3.5,0
flow_10.5,21.0,2.0,0
flow_00.4,70.5,4.0,0
flow_00.5,46.5,3.0,0
flow_00.6,42.0,3.0,0
flow_2012.7,25.5,3.5,0
flow_3012.11,68.5,4.5,0
flow_101.20,55.0,7.0,0
flow_101.21,33.0,3.0,0
flow_101.22,24.0,2.5,0
flow_30.2,20.5,1.5,0
flow_2012.8,58.0,4.5,0
flow_201.13,51.0,3.0,0
flow_001.13,70.5,7.5,0
flow_001.14,58.0,3.5,0
flow_201.14,26.0,2.5,0
flow_001.15,52.5,3.0,0
flow_301.18,58.0,3.5,0
flow_101.23,49.0,3.5,0
flow_301.19,49.0,3.0,0
flow_101.24,26.0,2.5,0
flow_30.3,44.0,3.0,0
flow_3012.12,48.5,4.5,0
flow_3012.13,30.5,3.0,0
flow_301.20,25.0,2.5,0
flow_101.25,27.0,3.0,0
flow_201.15,73.0,3.5,0
flow_001.16,74.0,3.5,0
flow_0012.8,74.0,4.0,0
flow_00.7,64.5,3.0,0
flow_201.16,51.0,7.0,0
flow_00.8,60.5,2.5,0
flow_201.17,36.5,3.0,0
flow_00.9,23.5,2.0,0
flow_2012.9,30.0,4.5,0
flow_0012.9,23.5,3.0,0
flow_20.4,21.5,2.0,0
flow_101.26,69.0,3.5,0
flow_301.21,46.5,3.5,0
flow_1012.11,57.5,3.5,0
flow_3012.14,39.0,4.0,0
flow_101.27,55.5,3.0,0
flow_101.28,47.0,3.0,0
flow_101.29,28.0,3.0,0
flow_301.22,27.5,3.0,0
