vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,21.5,2.0,0
flow_2012.0,23.5,3.0,0
flow_0012.0,24.5,3.0,0
flow_00.1,22.0,2.0,0
flow_001.0,24.0,2.5,0
flow_1012.0,48.0,5.0,0
flow_101.0,45.5,3.0,0
flow_10.0,41.0,3.0,0
flow_1012.1,37.5,3.5,0
flow_10.1,21.5,2.0,0
flow_1012.2,24.5,3.0,0
flow_2012.1,67.0,4.5,0
flow_20.0,51.0,3.0,0
flow_001.1,78.5,7.5,0
flow_201.0,51.5,3.0,0
flow_20.1,46.5,2.5,0
flow_001.2,77.5,3.5,0
flow_00.2,67.0,2.5,0
flow_201.1,44.0,3.0,0
flow_0012.1,69.5,4.5,0
flow_001.3,66.5,2.5,0
flow_201.2,46.0,3.5,0
flow_0012.2,68.0,4.5,0
flow_20.2,41.0,4.5,0
flow_0012.3,69.0,7.0,0
flow_20.3,34.0,6.5,0
flow_001.4,67.0,3.5,0
flow_201.3,32.0,3.5,0
flow_0012.4,67.0,4.5,0
flow_001.5,61.0,2.5,0
flow_201.4,35.0,4.0,0
flow_001.6,60.5,3.0,0
flow_101.1,28.0,3.0,0
flow_301.0,71.5,3.5,0
flow_3012.0,59.0,4.0,0
flow_3012.1,49.0,4.0,0
flow_301.1,43.0,3.0,0
flow_101.2,24.5,2.5,0
flow_30.0,23.5,2.5,0
flow_3012.2,25.5,3.0,0
flow_3012.3,25.0,3.5,0
flow_201.5,82.5,3.5,0
flow_0012.5,103.0,6.5,0
flow_2012.2,81.5,3.5,0
flow_2012.3,80.0,4.0,0
flow_201.6,79.0,3.0,0
flow_001.7,93.0,4.0,0
flow_20.4,74.0,2.5,0
flow_20.5,66.5,2.5,0
flow_001.8,91.0,3.0,0
flow_2012.4,55.5,3.5,0
flow_00.3,91.5,6.0,0
flow_201.7,31.5,2.5,0
flow_001.9,89.0,3.0,0
flow_00.4,88.5,4.0,0
flow_2012.5,30.0,4.5,0
flow_0012.6,89.0,4.0,0
flow_2012.6,27.5,5.5,0
flow_0012.7,87.5,4.0,0
flow_0012.8,62.5,4.0,0
flow_0012.9,61.5,4.0,0
flow_10.2,49.5,4.0,0
flow_30.1,48.5,4.0,0
flow_3012.4,26.5,3.5,0
flow_00.5,106.0,4.0,0
flow_201.8,80.5,3.5,0
flow_0012.10,94.5,4.0,0
flow_2012.7,80.5,3.5,0
flow_20.6,78.0,3.0,0
flow_00.6,87.0,3.0,0
flow_00.7,84.0,3.0,0
flow_201.9,79.0,2.5,0
flow_00.8,77.5,2.5,0
flow_0012.11,49.5,3.0,0
flow_2012.8,82.0,6.0,0
flow_201.10,74.5,3.0,0
flow_001.10,50.5,3.0,0
flow_00.9,47.0,2.5,0
flow_201.11,74.5,3.0,0
flow_00.10,45.5,2.5,0
flow_201.12,60.5,3.0,0
flow_201.13,60.0,3.0,0
flow_001.11,48.5,3.5,0
flow_20.7,53.5,3.0,0
flow_001.12,47.0,3.5,0
flow_2012.9,54.0,4.0,0
flow_001.13,48.0,6.5,0
flow_10.3,39.0,4.0,0
flow_30.2,60.0,4.0,0
flow_101.3,36.0,3.0,0
flow_1012.3,35.5,4.0,0
flow_1012.4,28.0,4.0,0
flow_1012.5,27.0,4.0,0
flow_10.4,21.5,2.0,0
